evaluations raw_y
1 -2011.0000000000
11 -2010.0000000000
12 -2009.0000000000
14 -2008.0000000000
16 -2007.0000000000
31 -2006.0000000000
33 -2005.0000000000
56 -2004.0000000000
100 -2003.0000000000
122 -2002.0000000000
201 -1998.0000000000
202 -1997.0000000000
240 -1996.0000000000
332 -1995.0000000000
348 -1994.0000000000
382 -1992.0000000000
477 -1991.0000000000
528 -1990.0000000000
715 -1989.0000000000
819 -1987.0000000000
905 -1986.0000000000
921 -1985.0000000000
1019 -1983.0000000000
1034 -1982.0000000000
1224 -1981.0000000000
1227 -1979.0000000000
1245 -1978.0000000000
1264 -1977.0000000000
1352 -1976.0000000000
1426 -1974.0000000000
1625 -1972.0000000000
1763 -1971.0000000000
1772 -1969.0000000000
2099 -1967.0000000000
2130 -1966.0000000000
2155 -1964.0000000000
2398 -1963.0000000000
2400 -1962.0000000000
2404 -1961.0000000000
2432 -1960.0000000000
2480 -1959.0000000000
2482 -1958.0000000000
2535 -1957.0000000000
2649 -1956.0000000000
2686 -1955.0000000000
3062 -1954.0000000000
3167 -1953.0000000000
3241 -1952.0000000000
3597 -1951.0000000000
3639 -1949.0000000000
3665 -1948.0000000000
3806 -1947.0000000000
3870 -1946.0000000000
3877 -1945.0000000000
3944 -1944.0000000000
4013 -1942.0000000000
4197 -1940.0000000000
4327 -1939.0000000000
4754 -1938.0000000000
4799 -1937.0000000000
4822 -1936.0000000000
5792 -1935.0000000000
5837 -1934.0000000000
5907 -1932.0000000000
5916 -1931.0000000000
6170 -1930.0000000000
6447 -1928.0000000000
7060 -1927.0000000000
7587 -1926.0000000000
7801 -1925.0000000000
7963 -1924.0000000000
8040 -1923.0000000000
9223 -1922.0000000000
9362 -1921.0000000000
9385 -1920.0000000000
9681 -1919.0000000000
9767 -1918.0000000000
9776 -1917.0000000000
10000 -1988.0000000000
evaluations raw_y
1 -1987.0000000000
4 -1985.0000000000
7 -1984.0000000000
16 -1983.0000000000
25 -1982.0000000000
37 -1980.0000000000
115 -1978.0000000000
121 -1977.0000000000
175 -1976.0000000000
235 -1975.0000000000
236 -1973.0000000000
322 -1971.0000000000
346 -1969.0000000000
353 -1968.0000000000
597 -1967.0000000000
649 -1966.0000000000
673 -1965.0000000000
745 -1964.0000000000
771 -1963.0000000000
864 -1962.0000000000
877 -1961.0000000000
947 -1960.0000000000
961 -1959.0000000000
984 -1958.0000000000
1020 -1957.0000000000
1065 -1956.0000000000
1284 -1955.0000000000
1374 -1954.0000000000
1734 -1953.0000000000
1792 -1952.0000000000
1801 -1951.0000000000
1817 -1950.0000000000
1896 -1949.0000000000
2106 -1948.0000000000
2156 -1947.0000000000
2196 -1946.0000000000
2333 -1945.0000000000
2436 -1944.0000000000
2497 -1942.0000000000
2570 -1941.0000000000
2619 -1940.0000000000
2620 -1939.0000000000
2631 -1938.0000000000
2653 -1937.0000000000
2731 -1936.0000000000
2748 -1935.0000000000
2767 -1934.0000000000
2881 -1933.0000000000
3009 -1932.0000000000
3041 -1931.0000000000
3076 -1930.0000000000
3254 -1929.0000000000
3347 -1928.0000000000
3361 -1927.0000000000
3459 -1926.0000000000
3785 -1925.0000000000
4039 -1924.0000000000
4148 -1923.0000000000
4149 -1922.0000000000
4279 -1921.0000000000
4639 -1920.0000000000
5066 -1919.0000000000
5489 -1918.0000000000
5538 -1917.0000000000
5859 -1916.0000000000
6045 -1915.0000000000
6065 -1914.0000000000
6357 -1913.0000000000
6618 -1912.0000000000
6753 -1911.0000000000
6874 -1910.0000000000
6933 -1908.0000000000
7040 -1907.0000000000
7612 -1906.0000000000
7743 -1905.0000000000
7942 -1904.0000000000
8250 -1903.0000000000
8903 -1902.0000000000
8972 -1901.0000000000
9005 -1900.0000000000
9393 -1899.0000000000
9744 -1898.0000000000
10000 -1965.0000000000
evaluations raw_y
1 -1978.0000000000
9 -1977.0000000000
11 -1976.0000000000
12 -1973.0000000000
26 -1972.0000000000
37 -1971.0000000000
72 -1970.0000000000
116 -1968.0000000000
157 -1966.0000000000
177 -1965.0000000000
199 -1964.0000000000
256 -1963.0000000000
341 -1962.0000000000
342 -1961.0000000000
355 -1960.0000000000
376 -1959.0000000000
385 -1958.0000000000
427 -1957.0000000000
458 -1956.0000000000
580 -1954.0000000000
655 -1951.0000000000
796 -1950.0000000000
800 -1948.0000000000
822 -1944.0000000000
870 -1941.0000000000
1120 -1939.0000000000
1294 -1935.0000000000
1316 -1934.0000000000
1322 -1933.0000000000
1333 -1932.0000000000
1334 -1931.0000000000
1357 -1929.0000000000
1649 -1928.0000000000
1757 -1927.0000000000
1868 -1926.0000000000
2207 -1925.0000000000
2236 -1923.0000000000
2493 -1922.0000000000
2661 -1921.0000000000
2690 -1920.0000000000
2754 -1919.0000000000
