evaluations raw_y
1 709551.2557795568
5 709584.4830408143
6 710545.8119182166
20 710597.3669004926
36 711714.7629569420
46 711816.1127900017
60 712133.6611306310
82 712161.7643367739
119 712424.4822550502
128 712739.3297398054
177 713133.1907762079
218 713669.4386507955
266 713752.9033661325
271 713825.5109947477
365 714708.5106537911
397 714865.4281198436
417 714884.1365051188
429 714960.2615592540
451 715899.1103911739
512 716690.0980119145
526 716739.4825574460
544 718136.0024785660
598 718665.3578555629
633 720573.4944965792
755 722303.5900068975
760 722722.6257246141
774 722834.7735954579
802 723278.7939312628
816 724019.5310766397
827 724319.3092107844
872 724908.7802565151
892 725306.0259583090
968 726771.9827159146
1215 727352.7855048223
1244 727771.5170418202
1303 727822.8466969068
1422 728180.4630114652
1499 728423.6033600635
1593 729239.1241319590
1639 729436.4488954692
1760 729612.5059027162
1932 729847.0458531851
2014 730251.4064455490
2228 731129.5887514806
2447 731582.4846920243
2523 732586.8208941249
2548 733159.7979811740
2607 733278.8268881066
2633 733359.6929465919
2656 733512.6887649269
2779 733755.3312192222
2859 733805.9141265383
2894 734700.5720345762
3233 735161.2332368871
3321 735591.4656300222
3335 735613.9685853934
3433 736372.7688689586
3763 736447.5288023306
3797 737281.6845188526
3999 737801.7800209569
4075 738282.4950455006
4156 738422.7254344230
4339 739006.7543511229
4363 739212.5798194770
4618 739864.4497008850
4980 740318.1185721406
5071 740579.7647144529
5081 740768.2039663551
5324 741219.8600476844
5341 741442.5067582747
5476 741652.0560739888
5555 742199.5981653954
5694 742747.9392331361
5734 743393.9712027544
5776 743687.6001286742
5844 743931.2489719187
5871 745217.0617720267
6285 745554.0148778275
6593 746395.2112252645
6628 746718.1902301612
6672 747704.0073697369
6954 747926.6541912226
7211 748614.1665043345
7229 748684.8117677571
7238 748802.0137818529
7292 748925.3537749812
7408 749026.3489954647
7539 749293.5660736308
7658 749533.2692261768
7665 750008.9470730190
7915 750155.4273828645
7970 750421.1130184090
8041 751242.5137032858
8580 752507.4186736499
8746 753321.0102789624
9705 753746.7960594769
9766 754033.5784095256
9920 755114.5646700159
10000 748910.1415328874
evaluations raw_y
1 680531.1974090749
6 680653.6696691711
9 681576.6626683385
10 681857.0295925450
27 682388.4858653934
50 684699.2962249126
67 685688.9698154565
80 685950.2122800727
82 686745.6295962263
94 687516.9718560573
140 688244.7259929825
200 688423.9559040036
317 688456.8659401841
318 688949.3211333774
323 689044.7108770816
331 689402.9635028759
382 690761.8358820860
419 691756.3919596092
437 691851.3411569530
508 691861.8330464647
543 692382.0329989633
631 693771.0046343689
693 693799.8063368691
759 693894.1519360843
792 694447.1835099980
805 694549.3392035094
829 694567.6859300126
865 695022.3028511335
970 695583.6667596997
1042 695638.2384106943
1051 695860.6707601561
1068 696414.5839361516
1161 696971.4394052743
1288 697640.3587071393
1377 697861.1374786579
1467 698090.3470639013
1566 698361.5772606508
1660 698934.5531735935
1704 699251.9980348635
1786 699648.3159961938
1840 699825.1516212251
1849 700489.0574685478
1850 700923.8544722956
1957 701071.8618414374
1976 701872.7925244974
1995 702543.7554907292
2139 703036.7209541838
2336 703319.9723829475
2383 704267.4787328360
2430 704465.2420614582
2478 705251.7012938819
2611 705438.7333607158
2620 705705.2832420800
2742 705926.6295751259
2754 706613.3902996853
2949 706960.2373229276
2995 707265.2441449467
3174 707576.3644819030
3192 708281.7727481100
3254 708534.8713174893
3256 708935.7807187981
3278 709333.3907954434
3567 709860.2535041503
3838 710051.1023867398
3911 711452.6590394510
4300 711752.2593202030
4527 712364.5690768862
4740 713537.9996504999
4807 715637.9985848597
4840 716494.7506523798
5298 716537.4256947411
5460 716743.7484204622
5579 716797.0838191155
5615 717651.9002207179
5716 717877.3109824534
5856 719644.9804894608
6022 720029.7665327580
6036 720167.9476186344
6151 721011.5131780423
6252 721348.2394422432
