evaluations raw_y
1 -2058.0000000000
3 -10.0000000000
1853 -9.0000000000
2003 -8.0000000000
3008 -7.0000000000
5186 -6.0000000000
6503 -5.0000000000
7308 -4.0000000000
7477 -3.0000000000
10000 -5.0000000000
evaluations raw_y
1 -1974.0000000000
3 -11.0000000000
8 -10.0000000000
567 -9.0000000000
2739 -8.0000000000
2878 -7.0000000000
3086 -6.0000000000
3952 -5.0000000000
5591 -4.0000000000
5826 -3.0000000000
6325 -2.0000000000
7471 -1.0000000000
8693 83.2000000000
8707 93.4600000000
10000 77.0100000000
evaluations raw_y
1 -2017.0000000000
3 -10.0000000000
347 -9.0000000000
2512 -8.0000000000
2731 -7.0000000000
2979 -9.0000000000
