evaluations raw_y
1 -215.0000000000
3 -36.0000000000
6 -35.0000000000
25 -34.0000000000
60 -33.0000000000
68 -32.0000000000
120 -31.0000000000
200 -30.0000000000
270 -29.0000000000
374 -28.0000000000
386 -27.0000000000
525 -26.0000000000
559 -25.0000000000
561 -24.0000000000
651 -23.0000000000
733 -22.0000000000
756 -21.0000000000
775 -20.0000000000
791 -19.0000000000
863 -18.0000000000
981 -17.0000000000
1170 -16.0000000000
1212 -15.0000000000
1439 -14.0000000000
1455 -13.0000000000
1470 -12.0000000000
1557 -11.0000000000
1616 -10.0000000000
1793 -9.0000000000
1893 -8.0000000000
2434 -7.0000000000
2499 -6.0000000000
2620 -5.0000000000
3098 -4.0000000000
3132 -3.0000000000
3383 -2.0000000000
3499 -1.0000000000
3500 385.0000000000
3564 392.0000000000
3758 394.0000000000
3789 396.0000000000
3830 400.0000000000
3883 410.0000000000
5088 412.0000000000
5379 415.0000000000
5512 419.0000000000
5577 420.0000000000
5680 421.0000000000
5695 422.0000000000
5791 423.0000000000
5802 429.0000000000
6164 433.0000000000
6727 435.0000000000
10001 435.0000000000
evaluations raw_y
1 -227.0000000000
5 -225.0000000000
6 -37.0000000000
7 -35.0000000000
65 -34.0000000000
95 -33.0000000000
106 -32.0000000000
111 -31.0000000000
252 -30.0000000000
320 -29.0000000000
343 -27.0000000000
360 -26.0000000000
521 -25.0000000000
523 -24.0000000000
710 -23.0000000000
711 -22.0000000000
715 -21.0000000000
943 -20.0000000000
989 -19.0000000000
1083 -18.0000000000
1102 -17.0000000000
1136 -16.0000000000
1186 -15.0000000000
1270 -14.0000000000
1275 -13.0000000000
1312 -12.0000000000
1344 -11.0000000000
1348 -10.0000000000
1405 -9.0000000000
1462 -8.0000000000
1506 -7.0000000000
1572 -6.0000000000
1691 -5.0000000000
1851 -4.0000000000
2069 -3.0000000000
2099 -2.0000000000
2360 -1.0000000000
2400 389.0000000000
2471 392.0000000000
2502 393.0000000000
2528 397.0000000000
2536 399.0000000000
2639 400.0000000000
2675 403.0000000000
2710 404.0000000000
2833 406.0000000000
2921 411.0000000000
3725 412.0000000000
3730 416.0000000000
4037 419.0000000000
4454 421.0000000000
4592 424.0000000000
6064 425.0000000000
7952 427.0000000000
8678 428.0000000000
9138 430.0000000000
9611 431.0000000000
9728 432.0000000000
10001 412.0000000000
evaluations raw_y
1 -218.0000000000
3 -35.0000000000
56 -34.0000000000
77 -33.0000000000
138 -32.0000000000
168 -31.0000000000
215 -30.0000000000
234 -28.0000000000
444 -27.0000000000
448 -26.0000000000
564 -25.0000000000
619 -24.0000000000
636 -23.0000000000
673 -22.0000000000
797 -21.0000000000
808 -20.0000000000
886 -19.0000000000
1021 -18.0000000000
1046 -17.0000000000
1060 -16.0000000000
1177 -15.0000000000
1237 -14.0000000000
1246 -13.0000000000
1303 -12.0000000000
1403 -11.0000000000
1428 -10.0000000000
1587 -9.0000000000
1611 -8.0000000000
1636 -7.0000000000
1853 -6.0000000000
2138 -5.0000000000
2139 -4.0000000000
2150 -3.0000000000
2451 -2.0000000000
2674 -1.0000000000
2675 394.0000000000
2781 401.0000000000
2807 402.0000000000
2828 405.0000000000
3076 409.0000000000
3097 412.0000000000
3255 414.0000000000
3713 416.0000000000
4110 423.0000000000
4955 425.0000000000
6098 426.0000000000
6596 427.0000000000
10001 365.0000000000
evaluations raw_y
1 -194.0000000000
3 -35.0000000000
43 -34.0000000000
104 -33.0000000000
123 -32.0000000000
124 -31.0000000000
208 -30.0000000000
323 -29.0000000000
422 -28.0000000000
428 -27.0000000000
436 -26.0000000000
447 -25.0000000000
505 -24.0000000000
535 -23.0000000000
536 -20.0000000000
