evaluations raw_y
1 -2008.0000000000
8 -2007.0000000000
18 -2006.0000000000
25 -2004.0000000000
28 -2003.0000000000
43 -2002.0000000000
44 -2001.0000000000
45 -1999.0000000000
50 -1998.0000000000
63 -1997.0000000000
70 -1996.0000000000
77 -1995.0000000000
78 -1993.0000000000
84 -1991.0000000000
94 -1990.0000000000
96 -1989.0000000000
100 -1987.0000000000
101 -1986.0000000000
103 -1985.0000000000
114 -1984.0000000000
116 -1983.0000000000
127 -1982.0000000000
134 -1981.0000000000
150 -1980.0000000000
151 -1979.0000000000
153 -1978.0000000000
156 -1977.0000000000
160 -1976.0000000000
162 -1975.0000000000
164 -1974.0000000000
167 -1973.0000000000
178 -1972.0000000000
180 -1968.0000000000
181 -1967.0000000000
182 -1965.0000000000
187 -1964.0000000000
190 -1963.0000000000
192 -1962.0000000000
194 -1961.0000000000
202 -1960.0000000000
205 -1959.0000000000
213 -1958.0000000000
215 -1957.0000000000
218 -1956.0000000000
219 -1955.0000000000
221 -1954.0000000000
229 -1953.0000000000
234 -1952.0000000000
235 -1951.0000000000
237 -1949.0000000000
241 -1947.0000000000
242 -1946.0000000000
245 -1945.0000000000
247 -1944.0000000000
259 -1943.0000000000
270 -1942.0000000000
272 -1940.0000000000
275 -1939.0000000000
276 -1938.0000000000
280 -1936.0000000000
283 -1935.0000000000
285 -1933.0000000000
286 -1932.0000000000
290 -1931.0000000000
291 -1930.0000000000
300 -1928.0000000000
302 -1927.0000000000
308 -1926.0000000000
331 -1925.0000000000
335 -1923.0000000000
337 -1921.0000000000
345 -1919.0000000000
353 -1918.0000000000
354 -1916.0000000000
356 -1915.0000000000
367 -1914.0000000000
368 -1911.0000000000
369 -1910.0000000000
370 -1908.0000000000
375 -1906.0000000000
378 -1905.0000000000
387 -1904.0000000000
400 -1903.0000000000
407 -1902.0000000000
411 -1901.0000000000
418 -1900.0000000000
421 -1899.0000000000
428 -1898.0000000000
430 -1897.0000000000
431 -1895.0000000000
434 -1894.0000000000
437 -1893.0000000000
441 -1892.0000000000
446 -1891.0000000000
447 -1890.0000000000
485 -1889.0000000000
486 -1888.0000000000
497 -1887.0000000000
500 -1886.0000000000
501 -1885.0000000000
504 -1884.0000000000
508 -1883.0000000000
510 -1882.0000000000
512 -1881.0000000000
523 -1880.0000000000
526 -1879.0000000000
530 -1878.0000000000
532 -1875.0000000000
536 -1874.0000000000
543 -1873.0000000000
546 -1872.0000000000
548 -1870.0000000000
554 -1869.0000000000
562 -1868.0000000000
568 -1866.0000000000
571 -1865.0000000000
575 -1864.0000000000
586 -1863.0000000000
598 -1862.0000000000
600 -1860.0000000000
609 -1858.0000000000
626 -1856.0000000000
630 -1855.0000000000
632 -1854.0000000000
641 -1852.0000000000
647 -1850.0000000000
648 -1849.0000000000
651 -1847.0000000000
652 -1845.0000000000
654 -1844.0000000000
658 -1843.0000000000
659 -1842.0000000000
666 -1840.0000000000
686 -1839.0000000000
690 -1837.0000000000
697 -1836.0000000000
699 -1835.0000000000
702 -1834.0000000000
703 -1833.0000000000
706 -1832.0000000000
709 -1831.0000000000
712 -1830.0000000000
713 -1829.0000000000
714 -1827.0000000000
736 -1825.0000000000
740 -1824.0000000000
742 -1823.0000000000
748 -1822.0000000000
752 -1821.0000000000
753 -1820.0000000000
763 -1819.0000000000
772 -1818.0000000000
775 -1816.0000000000
776 -1815.0000000000
784 -1814.0000000000
794 -1812.0000000000
796 -1811.0000000000
809 -1810.0000000000
811 -1809.0000000000
819 -1807.0000000000
824 -1806.0000000000
839 -1805.0000000000
854 -1804.0000000000
855 -1803.0000000000
856 -1802.0000000000
857 -1801.0000000000
859 -1800.0000000000
860 -1798.0000000000
862 -1795.0000000000
863 -1793.0000000000
872 -1792.0000000000
876 -1791.0000000000
879 -1790.0000000000
880 -1789.0000000000
884 -1785.0000000000
896 -1784.0000000000
917 -1783.0000000000
920 -1782.0000000000
921 -1781.0000000000
923 -1780.0000000000
931 -1779.0000000000
932 -1777.0000000000
948 -1775.0000000000
951 -1774.0000000000
953 -1773.0000000000
960 -1772.0000000000
963 -1771.0000000000
971 -1770.0000000000
982 -1769.0000000000
988 -1768.0000000000
990 -1767.0000000000
994 -1766.0000000000
999 -1765.0000000000
1002 -1763.0000000000
1010 -1762.0000000000
1012 -1761.0000000000
1014 -1760.0000000000
1015 -1759.0000000000
1050 -1758.0000000000
1051 -1757.0000000000
1053 -1756.0000000000
1057 -1755.0000000000
1058 -1754.0000000000
1062 -1753.0000000000
1073 -1752.0000000000
1074 -1751.0000000000
1082 -1750.0000000000
1093 -1749.0000000000
1101 -1748.0000000000
1106 -1747.0000000000
1107 -1746.0000000000
1108 -1745.0000000000
1111 -1744.0000000000
1113 -1743.0000000000
1120 -1742.0000000000
1134 -1741.0000000000
1137 -1739.0000000000
1138 -1738.0000000000
1155 -1737.0000000000
1159 -1736.0000000000
1161 -1734.0000000000
1163 -1733.0000000000
1171 -1732.0000000000
1174 -1731.0000000000
1175 -1729.0000000000
1179 -1728.0000000000
1185 -1727.0000000000
1187 -1726.0000000000
1211 -1725.0000000000
1219 -1724.0000000000
1234 -1723.0000000000
1236 -1722.0000000000
1244 -1721.0000000000
1246 -1720.0000000000
1251 -1719.0000000000
1252 -1718.0000000000
1253 -1717.0000000000
1257 -1716.0000000000
1264 -1715.0000000000
1268 -1714.0000000000
1269 -1713.0000000000
1270 -1712.0000000000
1271 -1711.0000000000
1276 -1710.0000000000
1278 -1709.0000000000
1284 -1708.0000000000
1295 -1707.0000000000
1296 -1706.0000000000
1310 -1705.0000000000
1314 -1704.0000000000
1320 -1703.0000000000
1321 -1701.0000000000
1322 -1698.0000000000
1324 -1697.0000000000
1328 -1696.0000000000
1344 -1695.0000000000
1353 -1694.0000000000
1370 -1693.0000000000
1377 -1692.0000000000
1378 -1690.0000000000
1385 -1689.0000000000
1386 -1688.0000000000
1437 -1687.0000000000
1443 -1686.0000000000
1444 -1685.0000000000
1447 -1684.0000000000
1452 -1683.0000000000
1454 -1682.0000000000
1460 -1681.0000000000
1461 -1680.0000000000
1463 -1679.0000000000
1464 -1678.0000000000
1468 -1677.0000000000
1470 -1676.0000000000
1474 -1675.0000000000
1478 -1674.0000000000
1481 -1673.0000000000
1485 -1672.0000000000
1486 -1671.0000000000
1487 -1670.0000000000
1488 -1668.0000000000
1495 -1667.0000000000
1506 -1666.0000000000
1513 -1665.0000000000
1519 -1663.0000000000
1538 -1662.0000000000
1558 -1661.0000000000
1566 -1659.0000000000
1570 -1658.0000000000
1577 -1655.0000000000
1585 -1654.0000000000
1588 -1652.0000000000
1589 -1650.0000000000
1590 -1648.0000000000
1591 -1646.0000000000
1592 -1645.0000000000
1593 -1643.0000000000
1594 -1641.0000000000
1595 -1640.0000000000
1596 -1639.0000000000
1609 -1638.0000000000
1612 -1637.0000000000
1619 -1636.0000000000
1629 -1635.0000000000
1632 -1634.0000000000
1636 -1633.0000000000
1652 -1632.0000000000
1665 -1631.0000000000
1669 -1630.0000000000
1670 -1629.0000000000
1680 -1628.0000000000
1683 -1627.0000000000
1685 -1626.0000000000
1692 -1625.0000000000
1697 -1624.0000000000
1702 -1623.0000000000
1710 -1622.0000000000
1714 -1621.0000000000
1718 -1620.0000000000
1731 -1619.0000000000
1755 -1618.0000000000
1763 -1617.0000000000
1766 -1616.0000000000
1774 -1615.0000000000
1777 -1614.0000000000
1785 -1613.0000000000
1790 -1612.0000000000
1791 -1611.0000000000
1792 -1610.0000000000
1806 -1609.0000000000
1811 -1607.0000000000
1828 -1606.0000000000
1837 -1604.0000000000
1845 -1603.0000000000
1847 -1601.0000000000
1848 -1599.0000000000
1853 -1598.0000000000
1854 -1597.0000000000
1855 -1596.0000000000
1883 -1595.0000000000
1893 -1593.0000000000
1896 -1591.0000000000
1901 -1590.0000000000
1902 -1589.0000000000
1906 -1588.0000000000
1907 -1587.0000000000
1913 -1586.0000000000
1915 -1585.0000000000
1928 -1584.0000000000
1934 -1583.0000000000
1948 -1582.0000000000
1964 -1581.0000000000
1970 -1580.0000000000
1972 -1578.0000000000
1974 -1577.0000000000
1981 -1576.0000000000
1982 -1574.0000000000
1986 -1573.0000000000
1987 -1572.0000000000
1988 -1571.0000000000
1994 -1570.0000000000
1995 -1569.0000000000
2016 -1568.0000000000
2041 -1567.0000000000
2051 -1566.0000000000
2058 -1564.0000000000
2062 -1563.0000000000
2063 -1562.0000000000
2065 -1561.0000000000
2066 -1560.0000000000
2075 -1559.0000000000
2082 -1558.0000000000
2088 -1557.0000000000
2098 -1555.0000000000
2113 -1554.0000000000
2115 -1552.0000000000
2122 -1551.0000000000
2125 -1550.0000000000
2140 -1549.0000000000
2151 -1547.0000000000
2157 -1545.0000000000
2160 -1544.0000000000
2161 -1542.0000000000
2170 -1541.0000000000
2173 -1540.0000000000
