evaluations raw_y
1 -273936.1000000000
2 -273696.1000000000
3 -273603.1000000000
4 -270396.1000000000
115 -270038.1000000000
192 -269482.1000000000
353 -268012.1000000000
759 -267582.1000000000
4518 -267562.1000000000
4999 -266620.1000000000
8004 -266260.1000000000
10001 -273936.1000000000
evaluations raw_y
1 -288875.1000000000
3 -288504.1000000000
14 -288001.1000000000
18 -284711.1000000000
395 -284139.1000000000
1204 -283131.1000000000
1437 -282160.1000000000
5638 -278531.1000000000
10001 -288875.1000000000
evaluations raw_y
1 -265452.1000000000
16 -264972.1000000000
18 -264493.1000000000
19 -261732.1000000000
56 -261704.1000000000
230 -261678.1000000000
247 -260657.1000000000
517 -259662.1000000000
536 -259577.1000000000
1343 -258020.1000000000
2923 -257610.1000000000
5029 -257575.1000000000
5285 -257390.1000000000
10001 -265127.1000000000
evaluations raw_y
1 -263970.1000000000
5 -263084.1000000000
13 -262514.1000000000
15 -261390.1000000000
99 -260171.1000000000
278 -258074.1000000000
1618 -257674.1000000000
1802 -257636.1000000000
3640 -257379.1000000000
10001 -266781.1000000000
evaluations raw_y
1 -253378.1000000000
7 -252200.1000000000
11 -251858.1000000000
24 -250486.1000000000
49 -250447.1000000000
149 -250035.1000000000
190 -249850.1000000000
377 -249272.1000000000
1897 -247412.1000000000
6302 -246894.1000000000
10001 -254558.1000000000
evaluations raw_y
1 -279169.1000000000
3 -278394.1000000000
12 -277920.1000000000
17 -275725.1000000000
119 -274612.1000000000
169 -274182.1000000000
1655 -273913.1000000000
2270 -273775.1000000000
2443 -272728.1000000000
3662 -272665.1000000000
5786 -270533.1000000000
10001 -278825.1000000000
evaluations raw_y
1 -282011.1000000000
4 -278740.1000000000
11 -278719.1000000000
21 -278696.1000000000
47 -278309.1000000000
60 -278239.1000000000
126 -277037.1000000000
248 -276595.1000000000
360 -275656.1000000000
1752 -274195.1000000000
10001 -282011.1000000000
evaluations raw_y
1 -285553.1000000000
7 -284565.1000000000
9 -284379.1000000000
13 -283510.1000000000
27 -283262.1000000000
39 -282129.1000000000
87 -282121.1000000000
96 -282013.1000000000
107 -281983.1000000000
133 -281956.1000000000
180 -281579.1000000000
500 -278993.1000000000
2867 -277789.1000000000
6748 -275527.1000000000
10001 -285553.1000000000
evaluations raw_y
1 -266674.1000000000
2 -265878.1000000000
10 -265734.1000000000
14 -265061.1000000000
18 -264912.1000000000
20 -264424.1000000000
59 -263846.1000000000
73 -263718.1000000000
79 -263589.1000000000
168 -262627.1000000000
204 -261206.1000000000
572 -260853.1000000000
802 -259922.1000000000
10001 -265700.1000000000
evaluations raw_y
1 -283341.1000000000
6 -283262.1000000000
11 -282728.1000000000
13 -282415.1000000000
16 -281897.1000000000
22 -281895.1000000000
26 -281079.1000000000
34 -279529.1000000000
313 -277343.1000000000
2152 -277201.1000000000
9932 -276732.1000000000
9982 -275309.1000000000
10001 -282949.1000000000
evaluations raw_y
1 -296630.1000000000
3 -295908.1000000000
8 -295128.1000000000
22 -294786.1000000000
25 -294461.1000000000
37 -294240.1000000000
38 -292817.1000000000
112 -291260.1000000000
507 -289864.1000000000
2022 -289672.1000000000
2415 -289196.1000000000
5275 -288156.1000000000
10001 -295756.1000000000
evaluations raw_y
1 -274933.1000000000
3 -272777.1000000000
35 -271579.1000000000
77 -269163.1000000000
391 -268547.1000000000
2865 -267781.1000000000
9234 -267578.1000000000
10001 -274933.1000000000
evaluations raw_y
1 -260153.1000000000
4 -257950.1000000000
28 -257775.1000000000
70 -257354.1000000000
129 -257149.1000000000
188 -256611.1000000000
390 -254673.1000000000
1353 -254586.1000000000
4915 -254197.1000000000
8418 -253873.1000000000
10001 -260153.1000000000
evaluations raw_y
1 -276309.1000000000
5 -274547.1000000000
18 -274065.1000000000
22 -272440.1000000000
91 -270764.1000000000
1293 -270062.1000000000
6960 -269934.1000000000
7725 -268769.1000000000
10001 -276840.1000000000
evaluations raw_y
1 -293239.1000000000
4 -291737.1000000000
61 -290135.1000000000
84 -289995.1000000000
92 -289411.1000000000
97 -288757.1000000000
158 -287616.1000000000
444 -287116.1000000000
1746 -285245.1000000000
4242 -284842.1000000000
6746 -284484.1000000000
10001 -296555.1000000000
evaluations raw_y
1 -268962.1000000000
2 -265378.1000000000
17 -264209.1000000000
645 -264026.1000000000
898 -263930.1000000000
1592 -263562.1000000000
1819 -263486.1000000000
2027 -262420.1000000000
2998 -262256.1000000000
8363 -261922.1000000000
10001 -270602.1000000000
evaluations raw_y
1 -281078.1000000000
12 -280722.1000000000
19 -280104.1000000000
24 -279414.1000000000
58 -278539.1000000000
66 -276358.1000000000
578 -275606.1000000000
1821 -275169.1000000000
2856 -273726.1000000000
3541 -272658.1000000000
10001 -280183.1000000000
evaluations raw_y
1 -287262.1000000000
3 -284679.1000000000
67 -282118.1000000000
160 -280273.1000000000
1706 -278784.1000000000
10001 -285916.1000000000
evaluations raw_y
1 -277600.1000000000
10 -277104.1000000000
12 -275017.1000000000
13 -274789.1000000000
31 -271785.1000000000
520 -271040.1000000000
1713 -270699.1000000000
4871 -270410.1000000000
8833 -270224.1000000000
10001 -277128.1000000000
evaluations raw_y
1 -307645.1000000000
4 -307193.1000000000
6 -306971.1000000000
8 -305815.1000000000
12 -305613.1000000000
28 -304105.1000000000
36 -300893.1000000000
1943 -299701.1000000000
4937 -298965.1000000000
10001 -306964.1000000000
evaluations raw_y
1 -285134.1000000000
2 -283248.1000000000
34 -282934.1000000000
44 -282378.1000000000
53 -282242.1000000000
55 -280285.1000000000
545 -279617.1000000000
928 -278711.1000000000
1961 -277496.1000000000
10001 -285134.1000000000
evaluations raw_y
1 -293224.1000000000
5 -292150.1000000000
7 -291116.1000000000
27 -288866.1000000000
77 -288795.1000000000
98 -288374.1000000000
136 -287850.1000000000
1143 -287703.1000000000
1707 -286923.1000000000
3463 -285895.1000000000
8006 -285284.1000000000
10001 -293224.1000000000
evaluations raw_y
1 -270229.1000000000
3 -268867.1000000000
4 -268743.1000000000
5 -267948.1000000000
29 -266837.1000000000
62 -266645.1000000000
139 -266608.1000000000
146 -265200.1000000000
884 -264031.1000000000
1809 -262881.1000000000
10001 -270229.1000000000
evaluations raw_y
1 -287744.1000000000
2 -286235.1000000000
7 -285596.1000000000
31 -281967.1000000000
520 -280388.1000000000
9420 -280228.1000000000
10001 -288081.1000000000
evaluations raw_y
1 -283240.1000000000
5 -282281.1000000000
7 -281340.1000000000
11 -278856.1000000000
118 -278506.1000000000
404 -278144.1000000000
517 -277536.1000000000
934 -277283.1000000000
1055 -276240.1000000000
4261 -275366.1000000000
5295 -274570.1000000000
10001 -281859.1000000000
evaluations raw_y
1 -248972.1000000000
5 -247208.1000000000
6 -244868.1000000000
94 -244490.1000000000
288 -243068.1000000000
2042 -242545.1000000000
4412 -242397.1000000000
10001 -249664.1000000000
evaluations raw_y
1 -281693.1000000000
2 -281581.1000000000
6 -280513.1000000000
16 -279819.1000000000
41 -278542.1000000000
60 -277227.1000000000
97 -277049.1000000000
191 -276871.1000000000
351 -276215.1000000000
876 -275627.1000000000
1089 -274957.1000000000
1790 -274641.1000000000
3540 -274571.1000000000
9298 -274517.1000000000
10001 -281554.1000000000
evaluations raw_y
1 -279334.1000000000
4 -278838.1000000000
7 -278648.1000000000
9 -277817.1000000000
13 -276530.1000000000
45 -275064.1000000000
162 -274263.1000000000
499 -273424.1000000000
776 -272892.1000000000
1466 -271800.1000000000
6556 -271106.1000000000
10001 -279701.1000000000
evaluations raw_y
1 -288805.1000000000
2 -288326.1000000000
5 -285994.1000000000
20 -285489.1000000000
27 -283845.1000000000
478 -282888.1000000000
504 -282794.1000000000
562 -281741.1000000000
2709 -281504.1000000000
2827 -281484.1000000000
3480 -281444.1000000000
4109 -280985.1000000000
10001 -290356.1000000000
evaluations raw_y
1 -270567.1000000000
3 -268447.1000000000
52 -268419.1000000000
56 -267267.1000000000
94 -266232.1000000000
196 -266183.1000000000
509 -265900.1000000000
1862 -265864.1000000000
3128 -265373.1000000000
4231 -264901.1000000000
5181 -260619.1000000000
10001 -271383.1000000000
