evaluations raw_y
1 -2161969.0000000005
8 -2160958.0000000005
12 -2158948.0000000005
21 -2158943.0000000005
34 -2158941.0000000005
47 -2157940.0000000005
60 -2157932.0000000005
61 -2155920.0000000005
85 -2154916.0000000005
100 -2152910.0000000005
113 -2151906.0000000005
137 -2151905.0000000005
138 -2150905.0000000005
143 -2149901.0000000005
152 -2149900.0000000005
180 -2148899.0000000005
181 -2146890.0000000005
333 -2145885.0000000005
336 -2144886.0000000005
361 -2144885.0000000005
416 -2143882.0000000005
469 -2143873.0000000005
535 -2143868.0000000005
569 -2141853.0000000005
788 -2139847.0000000005
822 -2139846.0000000005
926 -2139845.0000000005
947 -2138837.0000000005
994 -2136832.0000000005
1027 -2136830.0000000005
1062 -2135830.0000000005
1071 -2134825.0000000005
1087 -2134821.0000000005
1169 -2133816.0000000005
1216 -2133813.0000000005
1297 -2132806.0000000005
1342 -2132805.0000000005
1347 -2131799.0000000005
1399 -2130792.0000000005
1402 -2129789.0000000005
1508 -2129787.0000000005
1533 -2128785.0000000005
1542 -2128778.0000000005
1674 -2127774.0000000005
1685 -2127770.0000000005
1715 -2126768.0000000005
1797 -2125760.0000000005
1865 -2125759.0000000005
1896 -2125752.0000000005
1905 -2124746.0000000005
2072 -2124740.0000000005
2108 -2124739.0000000005
2115 -2123736.0000000005
2161 -2123734.0000000005
2223 -2122734.0000000005
2421 -2122731.0000000005
2433 -2122727.0000000005
2505 -2120719.0000000005
2616 -2120716.0000000005
2679 -2119712.0000000005
2865 -2117698.0000000005
3001 -2116693.0000000005
3253 -2116689.0000000005
3310 -2115689.0000000005
3386 -2115688.0000000005
3426 -2113684.0000000005
3711 -2112675.0000000005
3714 -2111672.0000000005
3763 -2111667.0000000005
3960 -2111663.0000000005
3971 -2110654.0000000005
4207 -2108656.0000000005
4542 -2108646.0000000005
4611 -2107637.0000000005
4734 -2106637.0000000005
4966 -2106632.0000000005
4985 -2106630.0000000005
5019 -2105621.0000000005
5194 -2104620.0000000005
5235 -2104618.0000000005
5390 -2103608.0000000005
5460 -2102614.0000000005
5463 -2101605.0000000005
5523 -2100598.0000000005
5525 -2099595.0000000005
5575 -2099592.0000000005
5635 -2098592.0000000005
5659 -2098589.0000000005
5734 -2097590.0000000005
5751 -2097585.0000000005
5784 -2096576.0000000005
5803 -2095572.0000000005
5841 -2094567.0000000005
5860 -2093565.0000000005
6103 -2092555.0000000005
6271 -2092550.0000000005
6747 -2091564.0000000005
6949 -2090558.0000000005
7176 -2088539.0000000005
7308 -2087533.0000000005
7511 -2086526.0000000005
7969 -2085517.0000000005
8027 -2084510.0000000005
8224 -2083507.0000000005
8258 -2083506.0000000005
8506 -2083505.0000000005
9184 -2082500.0000000005
9543 -2081498.0000000005
9696 -2081493.0000000005
10000 -2116689.0000000005
evaluations raw_y
1 -2133854.0000000005
2 -2133851.0000000005
11 -2132842.0000000005
12 -2131836.0000000005
19 -2131831.0000000005
37 -2130825.0000000005
47 -2128816.0000000005
63 -2127808.0000000005
65 -2127806.0000000005
93 -2126800.0000000005
144 -2126796.0000000005
174 -2125797.0000000005
176 -2125793.0000000005
184 -2124791.0000000005
190 -2123782.0000000005
230 -2122777.0000000005
278 -2121769.0000000005
344 -2120761.0000000005
357 -2119762.0000000005
404 -2119761.0000000005
407 -2118754.0000000005
464 -2117750.0000000005
465 -2116742.0000000005
479 -2114736.0000000005
727 -2113736.0000000005
892 -2113727.0000000005
928 -2110713.0000000005
970 -2109705.0000000005
975 -2108698.0000000005
1019 -2106691.0000000005
1111 -2106686.0000000005
1222 -2106680.0000000005
1264 -2105677.0000000005
1274 -2104671.0000000005
1276 -2103666.0000000005
1299 -2102666.0000000005
1351 -2101666.0000000005
