evaluations raw_y
1 -2010.0000000000
6 -2009.0000000000
9 -2008.0000000000
10 -2007.0000000000
12 -2006.0000000000
13 -2003.0000000000
18 -2002.0000000000
20 -2001.0000000000
21 -2000.0000000000
22 -1999.0000000000
24 -1997.0000000000
26 -1996.0000000000
34 -1995.0000000000
41 -1993.0000000000
50 -1992.0000000000
51 -1991.0000000000
52 -1990.0000000000
53 -1989.0000000000
55 -1988.0000000000
63 -1987.0000000000
64 -1986.0000000000
66 -1985.0000000000
67 -1984.0000000000
68 -1982.0000000000
74 -1981.0000000000
77 -1980.0000000000
88 -1979.0000000000
92 -1977.0000000000
94 -1976.0000000000
102 -1975.0000000000
104 -1974.0000000000
115 -1973.0000000000
116 -1972.0000000000
119 -1971.0000000000
122 -1970.0000000000
123 -1967.0000000000
129 -1965.0000000000
133 -1964.0000000000
136 -1963.0000000000
138 -1961.0000000000
139 -1960.0000000000
141 -1959.0000000000
145 -1957.0000000000
146 -1956.0000000000
154 -1955.0000000000
156 -1954.0000000000
160 -1953.0000000000
172 -1952.0000000000
174 -1951.0000000000
175 -1950.0000000000
176 -1949.0000000000
178 -1948.0000000000
187 -1947.0000000000
190 -1945.0000000000
200 -1943.0000000000
224 -1942.0000000000
225 -1941.0000000000
227 -1939.0000000000
228 -1938.0000000000
232 -1937.0000000000
236 -1934.0000000000
247 -1933.0000000000
251 -1932.0000000000
260 -1931.0000000000
264 -1929.0000000000
270 -1928.0000000000
276 -1927.0000000000
286 -1926.0000000000
292 -1925.0000000000
293 -1922.0000000000
301 -1921.0000000000
307 -1920.0000000000
310 -1919.0000000000
319 -1918.0000000000
322 -1917.0000000000
329 -1916.0000000000
330 -1915.0000000000
331 -1914.0000000000
333 -1913.0000000000
334 -1912.0000000000
344 -1910.0000000000
347 -1909.0000000000
348 -1907.0000000000
353 -1906.0000000000
358 -1904.0000000000
360 -1902.0000000000
364 -1901.0000000000
365 -1900.0000000000
366 -1899.0000000000
369 -1898.0000000000
372 -1897.0000000000
376 -1896.0000000000
387 -1895.0000000000
398 -1894.0000000000
401 -1891.0000000000
406 -1890.0000000000
410 -1889.0000000000
416 -1888.0000000000
428 -1887.0000000000
432 -1886.0000000000
437 -1885.0000000000
438 -1883.0000000000
450 -1881.0000000000
451 -1880.0000000000
452 -1879.0000000000
455 -1877.0000000000
457 -1875.0000000000
458 -1874.0000000000
460 -1873.0000000000
462 -1872.0000000000
464 -1871.0000000000
468 -1870.0000000000
471 -1869.0000000000
472 -1868.0000000000
475 -1866.0000000000
476 -1865.0000000000
483 -1864.0000000000
486 -1862.0000000000
498 -1861.0000000000
510 -1860.0000000000
511 -1859.0000000000
512 -1858.0000000000
524 -1857.0000000000
531 -1856.0000000000
542 -1854.0000000000
558 -1853.0000000000
559 -1852.0000000000
566 -1851.0000000000
569 -1850.0000000000
584 -1849.0000000000
595 -1848.0000000000
598 -1847.0000000000
600 -1846.0000000000
606 -1845.0000000000
616 -1844.0000000000
631 -1843.0000000000
634 -1842.0000000000
636 -1841.0000000000
637 -1840.0000000000
639 -1839.0000000000
641 -1838.0000000000
647 -1837.0000000000
651 -1836.0000000000
659 -1835.0000000000
660 -1833.0000000000
663 -1832.0000000000
671 -1831.0000000000
677 -1828.0000000000
691 -1827.0000000000
700 -1825.0000000000
703 -1824.0000000000
705 -1823.0000000000
707 -1822.0000000000
708 -1821.0000000000
710 -1820.0000000000
717 -1818.0000000000
719 -1817.0000000000
720 -1816.0000000000
734 -1815.0000000000
739 -1813.0000000000
741 -1812.0000000000
743 -1810.0000000000
748 -1808.0000000000
751 -1807.0000000000
752 -1806.0000000000
755 -1804.0000000000
759 -1803.0000000000
768 -1802.0000000000
772 -1801.0000000000
776 -1800.0000000000
777 -1799.0000000000
784 -1798.0000000000
788 -1797.0000000000
789 -1796.0000000000
790 -1795.0000000000
793 -1794.0000000000
797 -1793.0000000000
800 -1791.0000000000
801 -1790.0000000000
807 -1788.0000000000
808 -1787.0000000000
809 -1786.0000000000
810 -1785.0000000000
811 -1784.0000000000
812 -1783.0000000000
813 -1781.0000000000
816 -1779.0000000000
817 -1778.0000000000
821 -1777.0000000000
824 -1774.0000000000
838 -1773.0000000000
839 -1772.0000000000
841 -1771.0000000000
847 -1770.0000000000
861 -1768.0000000000
862 -1767.0000000000
866 -1765.0000000000
876 -1764.0000000000
877 -1763.0000000000
879 -1761.0000000000
881 -1760.0000000000
887 -1759.0000000000
888 -1758.0000000000
902 -1757.0000000000
914 -1756.0000000000
921 -1755.0000000000
923 -1754.0000000000
926 -1753.0000000000
928 -1752.0000000000
941 -1751.0000000000
943 -1750.0000000000
964 -1749.0000000000
968 -1747.0000000000
970 -1746.0000000000
972 -1745.0000000000
973 -1743.0000000000
982 -1742.0000000000
987 -1740.0000000000
988 -1739.0000000000
995 -1738.0000000000
996 -1737.0000000000
999 -1736.0000000000
1000 -1733.0000000000
1001 -1732.0000000000
1003 -1731.0000000000
1004 -1730.0000000000
1008 -1729.0000000000
1013 -1728.0000000000
1014 -1727.0000000000
1022 -1726.0000000000
1025 -1725.0000000000
1028 -1723.0000000000
1030 -1722.0000000000
1032 -1721.0000000000
1034 -1720.0000000000
1041 -1719.0000000000
1043 -1716.0000000000
1048 -1715.0000000000
1050 -1714.0000000000
1054 -1713.0000000000
1055 -1712.0000000000
1062 -1710.0000000000
1064 -1709.0000000000
1067 -1707.0000000000
1073 -1705.0000000000
1081 -1704.0000000000
1095 -1703.0000000000
1098 -1702.0000000000
1112 -1701.0000000000
1124 -1700.0000000000
1134 -1698.0000000000
1138 -1697.0000000000
1141 -1696.0000000000
1142 -1694.0000000000
1147 -1693.0000000000
1149 -1692.0000000000
1153 -1690.0000000000
1156 -1688.0000000000
1157 -1687.0000000000
1160 -1686.0000000000
1162 -1685.0000000000
1163 -1684.0000000000
1166 -1683.0000000000
1167 -1682.0000000000
1174 -1681.0000000000
1183 -1679.0000000000
1184 -1678.0000000000
1195 -1677.0000000000
1202 -1676.0000000000
1209 -1675.0000000000
1219 -1673.0000000000
1225 -1672.0000000000
1226 -1671.0000000000
1227 -1670.0000000000
1229 -1669.0000000000
1230 -1668.0000000000
1235 -1667.0000000000
1236 -1666.0000000000
1240 -1664.0000000000
1243 -1662.0000000000
1247 -1661.0000000000
1248 -1660.0000000000
1255 -1658.0000000000
1256 -1657.0000000000
1257 -1656.0000000000
1258 -1654.0000000000
1266 -1653.0000000000
1269 -1652.0000000000
1285 -1650.0000000000
1304 -1648.0000000000
1306 -1647.0000000000
1307 -1646.0000000000
1316 -1645.0000000000
1336 -1644.0000000000
1347 -1643.0000000000
1350 -1642.0000000000
1351 -1641.0000000000
1358 -1640.0000000000
1363 -1639.0000000000
1375 -1637.0000000000
1381 -1636.0000000000
1383 -1635.0000000000
1398 -1634.0000000000
1404 -1632.0000000000
1420 -1631.0000000000
1426 -1630.0000000000
1427 -1628.0000000000
1430 -1627.0000000000
1441 -1624.0000000000
1443 -1623.0000000000
1451 -1622.0000000000
1489 -1621.0000000000
1491 -1620.0000000000
1492 -1619.0000000000
1526 -1618.0000000000
1530 -1617.0000000000
1538 -1615.0000000000
1545 -1614.0000000000
1556 -1613.0000000000
1559 -1612.0000000000
1565 -1611.0000000000
1591 -1609.0000000000
1592 -1608.0000000000
1633 -1607.0000000000
1643 -1606.0000000000
1652 -1605.0000000000
1653 -1604.0000000000
1659 -1603.0000000000
1668 -1602.0000000000
1669 -1601.0000000000
1671 -1600.0000000000
1672 -1599.0000000000
1674 -1598.0000000000
1685 -1597.0000000000
1686 -1596.0000000000
1690 -1595.0000000000
1695 -1594.0000000000
1701 -1592.0000000000
1706 -1591.0000000000
1709 -1590.0000000000
1711 -1588.0000000000
1714 -1586.0000000000
1715 -1584.0000000000
1717 -1583.0000000000
1733 -1581.0000000000
1744 -1580.0000000000
1754 -1579.0000000000
1760 -1578.0000000000
1769 -1577.0000000000
1771 -1576.0000000000
1772 -1575.0000000000
1773 -1574.0000000000
1775 -1573.0000000000
1778 -1571.0000000000
1782 -1569.0000000000
1785 -1568.0000000000
1790 -1567.0000000000
1791 -1566.0000000000
1795 -1565.0000000000
1796 -1564.0000000000
1810 -1563.0000000000
1821 -1562.0000000000
1830 -1561.0000000000
1831 -1560.0000000000
1876 -1559.0000000000
1877 -1558.0000000000
1879 -1557.0000000000
1885 -1556.0000000000
1886 -1555.0000000000
1911 -1554.0000000000
1933 -1553.0000000000
1934 -1552.0000000000
1948 -1551.0000000000
1951 -1550.0000000000
1956 -1549.0000000000
1963 -1548.0000000000
1966 -1547.0000000000
1967 -1545.0000000000
1968 -1544.0000000000
1972 -1543.0000000000
1973 -1542.0000000000
1995 -1541.0000000000
2014 -1540.0000000000
2015 -1539.0000000000
2018 -1538.0000000000
2023 -1537.0000000000
2025 -1536.0000000000
2034 -1535.0000000000
2053 -1534.0000000000
2055 -1533.0000000000
2056 -1532.0000000000
2060 -1531.0000000000
2076 -1530.0000000000
2080 -1529.0000000000
2083 -1527.0000000000
2086 -1526.0000000000
2087 -1525.0000000000
2090 -1524.0000000000
2091 -1523.0000000000
2092 -1522.0000000000
2093 -1521.0000000000
2097 -1520.0000000000
2099 -1519.0000000000
2117 -1518.0000000000
2119 -1516.0000000000
2121 -1515.0000000000
2122 -1514.0000000000
2124 -1512.0000000000
2125 -1511.0000000000
2128 -1509.0000000000
2134 -1508.0000000000
2139 -1507.0000000000
2144 -1506.0000000000
2152 -1505.0000000000
2155 -1503.0000000000
2165 -1501.0000000000
2181 -1500.0000000000
2182 -1499.0000000000
2197 -1498.0000000000
2209 -1497.0000000000
2215 -1496.0000000000
2223 -1495.0000000000
2225 -1494.0000000000
2239 -1493.0000000000
2241 -1492.0000000000
2248 -1491.0000000000
2275 -1490.0000000000
2288 -1489.0000000000
2289 -1488.0000000000
2292 -1487.0000000000
2317 -1486.0000000000
2325 -1484.0000000000
2357 -1483.0000000000
2364 -1482.0000000000
2366 -1481.0000000000
2368 -1479.0000000000
2369 -1478.0000000000
2371 -1477.0000000000
2379 -1475.0000000000
2380 -1474.0000000000
2383 -1473.0000000000
2386 -1472.0000000000
2391 -1471.0000000000
2392 -1470.0000000000
2397 -1469.0000000000
2403 -1468.0000000000
2405 -1467.0000000000
2410 -1466.0000000000
2416 -1465.0000000000
2424 -1464.0000000000
2455 -1463.0000000000
2472 -1462.0000000000
2474 -1461.0000000000
2484 -1460.0000000000
2490 -1459.0000000000
2492 -1458.0000000000
2493 -1457.0000000000
2504 -1456.0000000000
2505 -1455.0000000000
2507 -1454.0000000000
2543 -1453.0000000000
2544 -1452.0000000000
2561 -1451.0000000000
2581 -1450.0000000000
2583 -1449.0000000000
2590 -1448.0000000000
2595 -1447.0000000000
2611 -1446.0000000000
2613 -1445.0000000000
2632 -1444.0000000000
2635 -1442.0000000000
2638 -1441.0000000000
2639 -1440.0000000000
2644 -1439.0000000000
2655 -1437.0000000000
2662 -1436.0000000000
2667 -1435.0000000000
2689 -1434.0000000000
2692 -1433.0000000000
2704 -1432.0000000000
2712 -1431.0000000000
2716 -1430.0000000000
2717 -1429.0000000000
2718 -1428.0000000000
2722 -1427.0000000000
2730 -1426.0000000000
2734 -1425.0000000000
2735 -1424.0000000000
2736 -1423.0000000000
2739 -1422.0000000000
2742 -1421.0000000000
2749 -1420.0000000000
2751 -1419.0000000000
2758 -1418.0000000000
2770 -1417.0000000000
2794 -1416.0000000000
2805 -1415.0000000000
2806 -1414.0000000000
2820 -1413.0000000000
2844 -1412.0000000000
2852 -1411.0000000000
2862 -1410.0000000000
2869 -1409.0000000000
2870 -1408.0000000000
2871 -1407.0000000000
2872 -1406.0000000000
2882 -1405.0000000000
2905 -1404.0000000000
2929 -1403.0000000000
2935 -1402.0000000000
2946 -1401.0000000000
2949 -1400.0000000000
2955 -1398.0000000000
2969 -1397.0000000000
2970 -1396.0000000000
2971 -1395.0000000000
2981 -1394.0000000000
2984 -1392.0000000000
2985 -1391.0000000000
2989 -1390.0000000000
3003 -1389.0000000000
3007 -1388.0000000000
3026 -1387.0000000000
3030 -1386.0000000000
3046 -1385.0000000000
3050 -1383.0000000000
3051 -1382.0000000000
3053 -1381.0000000000
3076 -1380.0000000000
3110 -1379.0000000000
3111 -1378.0000000000
3141 -1377.0000000000
