evaluations raw_y
1 -287810.1000000000
3 -287222.1000000000
4 -286855.1000000000
5 -286485.1000000000
7 -286308.1000000000
9 -286197.1000000000
10 -285710.1000000000
13 -283948.1000000000
16 -283087.1000000000
17 -281044.1000000000
19 -278967.1000000000
22 -278642.1000000000
23 -277833.1000000000
24 -277754.1000000000
25 -277064.1000000000
26 -274265.1000000000
29 -272937.1000000000
30 -272547.1000000000
32 -271839.1000000000
33 -271416.1000000000
35 -270803.1000000000
39 -270630.1000000000
41 -268220.1000000000
45 -266629.1000000000
48 -262883.1000000000
50 -262129.1000000000
53 -262098.1000000000
54 -260153.1000000000
56 -259517.1000000000
57 -258783.1000000000
59 -255891.1000000000
60 -255433.1000000000
67 -254561.1000000000
68 -253379.1000000000
70 -252913.1000000000
73 -246415.1000000000
75 -245734.1000000000
77 -245620.1000000000
78 -244566.1000000000
80 -243711.1000000000
85 -243491.1000000000
91 -242023.1000000000
92 -241395.1000000000
95 -240635.1000000000
97 -236635.1000000000
101 -235688.1000000000
102 -232176.1000000000
103 -231372.1000000000
106 -229776.1000000000
109 -226192.1000000000
110 -226053.1000000000
116 -225686.1000000000
117 -224814.1000000000
121 -224070.1000000000
122 -223756.1000000000
125 -222980.1000000000
126 -221811.1000000000
130 -221221.1000000000
131 -220813.1000000000
137 -220421.1000000000
138 -219592.1000000000
141 -218817.1000000000
142 -215813.1000000000
143 -215200.1000000000
145 -212938.1000000000
152 -212426.1000000000
153 -211615.1000000000
154 -209255.1000000000
156 -208439.1000000000
159 -208235.1000000000
165 -207568.1000000000
166 -206278.1000000000
177 -205104.1000000000
178 -201332.1000000000
179 -197584.1000000000
186 -197174.1000000000
189 -196300.1000000000
190 -195490.1000000000
193 -193792.1000000000
194 -193304.1000000000
195 -192345.1000000000
201 -191783.1000000000
202 -189635.1000000000
203 -186704.1000000000
205 -186604.1000000000
218 -186112.1000000000
223 -184194.1000000000
228 -182614.1000000000
230 -181880.1000000000
234 -181768.1000000000
236 -181140.1000000000
249 -180475.1000000000
267 -180273.1000000000
275 -179936.1000000000
279 -179753.1000000000
280 -178798.1000000000
287 -177382.1000000000
289 -176638.1000000000
294 -176470.1000000000
297 -175292.1000000000
298 -174551.1000000000
299 -172781.1000000000
309 -172192.1000000000
314 -171216.1000000000
320 -169380.1000000000
323 -168612.1000000000
338 -166933.1000000000
343 -166301.1000000000
346 -166248.1000000000
349 -165047.1000000000
350 -164971.1000000000
353 -163637.1000000000
359 -161793.1000000000
377 -160031.1000000000
380 25362.2975836967
393 25459.2355251844
405 25538.9697335972
424 26177.4260609721
448 26269.3773102961
483 26468.8601607515
488 26753.9622044148
519 26951.3474206852
553 27351.0795758865
667 27360.6113929400
673 27513.9379891274
732 27651.4408612937
800 27751.4069532769
834 27951.3391724346
876 27972.5774121967
972 28146.8078874437
977 28347.7389300000
1159 28478.8665807305
1187 28654.9402723896
1202 28770.7368425990
1313 28874.5296671370
1475 28977.4209154862
1542 29206.1338606366
1969 29333.6897781003
2080 29442.3330683785
2655 29509.1472603936
3440 29763.4603471385
3514 29891.6793045657
3605 29938.7001446896
4136 29956.0330965925
4973 29963.1842589663
4975 30311.9121301602
5305 30419.2202761598
5309 30569.1244656374
5312 30620.1262630182
5470 30776.4011599306
5499 30913.8964865690
5507 31014.2355080505
5610 31079.6448356928
5698 31218.3842984399
7596 31221.7598993098
7598 31514.5085121158
10000 -165549.1000000000
evaluations raw_y
1 -277346.1000000000
2 -275154.1000000000
3 -274628.1000000000
4 -271908.1000000000
6 -270462.1000000000
7 -268337.1000000000
12 -267363.1000000000
13 -266185.1000000000
15 -263733.1000000000
16 -262915.1000000000
19 -260746.1000000000
23 -260323.1000000000
28 -260101.1000000000
34 -259514.1000000000
35 -257648.1000000000
37 -257429.1000000000
39 -256755.1000000000
40 -256065.1000000000
41 -254683.1000000000
43 -252609.1000000000
47 -252358.1000000000
50 -252267.1000000000
51 -249974.1000000000
52 -249770.1000000000
53 -248657.1000000000
55 -248047.1000000000
58 -247129.1000000000
61 -246988.1000000000
66 -246400.1000000000
68 -245340.1000000000
75 -242462.1000000000
76 -240582.1000000000
82 -239848.1000000000
83 -238214.1000000000
84 -238135.1000000000
86 -238073.1000000000
92 -237123.1000000000
94 -235206.1000000000
96 -233686.1000000000
98 -233376.1000000000
102 -233075.1000000000
104 -231895.1000000000
107 -228123.1000000000
115 -227227.1000000000
118 -226835.1000000000
119 -226734.1000000000
122 -226344.1000000000
124 -225407.1000000000
128 -225295.1000000000
129 -224318.1000000000
130 -221885.1000000000
131 -219791.1000000000
132 -219256.1000000000
137 -216364.1000000000
138 -214884.1000000000
140 -211978.1000000000
143 -211731.1000000000
145 -209087.1000000000
146 -209021.1000000000
151 -208484.1000000000
158 -208084.1000000000
160 -207927.1000000000
162 -206980.1000000000
167 -206246.1000000000
176 -204410.1000000000
177 -204206.1000000000
179 -203814.1000000000
181 -203465.1000000000
185 -202705.1000000000
192 -201328.1000000000
198 -200049.1000000000
208 -199405.1000000000
213 -198576.1000000000
215 -198154.1000000000
236 -197689.1000000000
251 -197218.1000000000
261 -195840.1000000000
266 -194055.1000000000
270 -193976.1000000000
271 -193864.1000000000
277 -193244.1000000000
278 -192631.1000000000
280 -192159.1000000000
285 -191237.1000000000
288 -190965.1000000000
293 -190502.1000000000
298 -188050.1000000000
310 -186339.1000000000
314 -185516.1000000000
316 -185290.1000000000
317 -183528.1000000000
330 -183167.1000000000
336 -182579.1000000000
337 -181707.1000000000
339 -181467.1000000000
346 -180049.1000000000
350 -179629.1000000000
355 -176315.1000000000
366 -174813.1000000000
378 -172485.1000000000
380 -172330.1000000000
387 -170210.1000000000
394 -168336.1000000000
395 -168225.1000000000
401 -167457.1000000000
402 -166167.1000000000
409 -163631.1000000000
422 -163513.1000000000
433 -163019.1000000000
435 -161765.1000000000
451 25435.2743641919
487 25582.4362769882
540 25783.0349387241
546 25787.6326014713
645 25890.5354515484
770 26091.1217986370
823 26492.2890933617
1148 26602.7879535978
1436 26715.2739894784
1464 26871.2244729628
1510 27006.9570336263
1561 27072.0844923767
1589 27172.3849767968
1745 27181.3094120163
1746 27593.2101256898
1814 27709.6616406968
2241 27932.2106315716
2556 27943.2955164699
2587 28077.6144262539
2893 28183.5232147252
3178 28330.6867683961
3440 28517.6241442264
3465 28806.9085910148
4950 28858.1475092562
4979 29033.7639317847
5161 29067.8772697069
5185 29201.7384559009
5191 29363.5005311595
5207 29517.6852286323
5735 29525.4505605719
5750 29581.5347536268
6025 29620.5987609192
6276 29648.9109326193
6364 29792.7167672988
7094 30025.6180586617
7095 30354.0773565342
7619 30361.4818635439
7887 30379.9308997231
7939 30565.1537318577
8054 30681.1427236285
9134 30761.6654998638
9342 30786.8650299083
9451 30940.1747818665
9530 30950.2559881625
9610 31149.7604937553
10000 -161780.1000000000
evaluations raw_y
1 -261344.1000000000
2 -259044.1000000000
4 -258888.1000000000
5 -258014.1000000000
7 -255338.1000000000
9 -254649.1000000000
16 -253675.1000000000
19 -252265.1000000000
22 -248265.1000000000
23 -246844.1000000000
25 -246364.1000000000
28 -242891.1000000000
30 -239137.1000000000
31 -238685.1000000000
35 -238220.1000000000
36 -236878.1000000000
41 -235238.1000000000
43 -234409.1000000000
49 -233675.1000000000
50 -233534.1000000000
51 -233211.1000000000
58 -232745.1000000000
60 -232588.1000000000
61 -232466.1000000000
62 -232141.1000000000
65 -231297.1000000000
66 -230121.1000000000
68 -229964.1000000000
72 -229712.1000000000
73 -228232.1000000000
75 -227258.1000000000
77 -224460.1000000000
79 -223847.1000000000
85 -223443.1000000000
90 -222825.1000000000
92 -220563.1000000000
93 -219840.1000000000
96 -219129.1000000000
98 -218493.1000000000
99 -217905.1000000000
104 -217849.1000000000
111 -217361.1000000000
116 -217005.1000000000
132 -216518.1000000000
133 -214482.1000000000
138 -213308.1000000000
142 -211931.1000000000
145 -208391.1000000000
147 -207854.1000000000
150 -207374.1000000000
152 -204426.1000000000
154 -202560.1000000000
157 -201751.1000000000
158 -197311.1000000000
160 -196840.1000000000
173 -196089.1000000000
174 -195476.1000000000
175 -195068.1000000000
180 -194968.1000000000
188 -194046.1000000000
191 -193419.1000000000
192 -192831.1000000000
194 -191459.1000000000
202 -190509.1000000000
213 -188434.1000000000
214 -188067.1000000000
221 -188036.1000000000
225 -187861.1000000000
227 -186737.1000000000
233 -185319.1000000000
234 -184757.1000000000
241 -183467.1000000000
250 -182061.1000000000
251 -181176.1000000000
255 -178639.1000000000
293 -177758.1000000000
295 -177221.1000000000
303 -176571.1000000000
304 -175795.1000000000
305 -175395.1000000000
311 -174418.1000000000
314 -174057.1000000000
315 -173233.1000000000
319 -170434.1000000000
331 -170067.1000000000
333 -169130.1000000000
370 -168208.1000000000
379 -167924.1000000000
381 -166372.1000000000
390 -166293.1000000000
391 -166289.1000000000
408 -165529.1000000000
410 -165139.1000000000
413 -163036.1000000000
421 -163000.1000000000
424 -162993.1000000000
434 -162177.1000000000
435 -161259.1000000000
441 -160670.1000000000
444 -160569.1000000000
446 -160414.1000000000
476 -160188.1000000000
485 -160143.1000000000
489 26207.4846379886
495 26688.2855836329
506 26829.3288728277
510 26932.7374266351
512 27334.2298267256
529 27494.7479209482
544 27636.7216709036
558 27748.2244558037
591 27948.8593978268
694 28186.7007203040
720 28323.2997003177
770 28488.2561604090
772 28605.6816285442
783 28726.9208839319
790 28902.2418714270
