evaluations raw_y
1 -1974.0000000000
4 -1923.0000000000
12 -1919.0000000000
27 -1892.0000000000
399 -1880.0000000000
809 -1875.0000000000
811 -1848.0000000000
1193 -1841.0000000000
1213 -1831.0000000000
1595 -1821.0000000000
1617 -1802.0000000000
2385 -1798.0000000000
2403 -1786.0000000000
3195 -1784.0000000000
3205 -1774.0000000000
3565 -1768.0000000000
3583 -1766.0000000000
3963 -1747.0000000000
4777 -1745.0000000000
4789 -1743.0000000000
5155 -1740.0000000000
5157 -1709.0000000000
5579 -1704.0000000000
5951 -1701.0000000000
5957 -1694.0000000000
6339 -1690.0000000000
6355 -1687.0000000000
6733 -1686.0000000000
6747 -1682.0000000000
7135 -1679.0000000000
7163 -1675.0000000000
7169 -1674.0000000000
7525 -1670.0000000000
7545 -1666.0000000000
7923 -1657.0000000000
7929 -1651.0000000000
8319 -1650.0000000000
8355 -1629.0000000000
10296 -2297.0000000000
evaluations raw_y
1 -2005.0000000000
2 -1965.0000000000
3 -1942.0000000000
4 -1931.0000000000
10 -1915.0000000000
33 -1877.0000000000
799 -1841.0000000000
1189 -1826.0000000000
2387 -1808.0000000000
2777 -1796.0000000000
3199 -1795.0000000000
3565 -1785.0000000000
3567 -1778.0000000000
3571 -1748.0000000000
4373 -1745.0000000000
4791 -1743.0000000000
5161 -1727.0000000000
5561 -1722.0000000000
5571 -1719.0000000000
5943 -1705.0000000000
6369 -1704.0000000000
6739 -1701.0000000000
6765 -1683.0000000000
7157 -1679.0000000000
7527 -1673.0000000000
7929 -1665.0000000000
8317 -1659.0000000000
8721 -1647.0000000000
8731 -1646.0000000000
9111 -1643.0000000000
9123 -1628.0000000000
9925 -1625.0000000000
10296 -1643.0000000000
evaluations raw_y
1 -1926.0000000000
6 -1924.0000000000
427 -1923.0000000000
437 -1906.0000000000
795 -1898.0000000000
811 -1896.0000000000
817 -1889.0000000000
1193 -1883.0000000000
1223 -1876.0000000000
1597 -1875.0000000000
1599 -1871.0000000000
1617 -1849.0000000000
2015 -1837.0000000000
2379 -1828.0000000000
2403 -1827.0000000000
2775 -1813.0000000000
3175 -1803.0000000000
3575 -1795.0000000000
3601 -1786.0000000000
3979 -1782.0000000000
4363 -1778.0000000000
4379 -1777.0000000000
4395 -1776.0000000000
4753 -1756.0000000000
5165 -1752.0000000000
5171 -1747.0000000000
5551 -1746.0000000000
5555 -1744.0000000000
5575 -1742.0000000000
5941 -1736.0000000000
5967 -1733.0000000000
6337 -1732.0000000000
6369 -1731.0000000000
6743 -1727.0000000000
6761 -1725.0000000000
6771 -1715.0000000000
7141 -1706.0000000000
7559 -1704.0000000000
7563 -1688.0000000000
8321 -1677.0000000000
9121 -1675.0000000000
9505 -1672.0000000000
9527 -1664.0000000000
9913 -1647.0000000000
10296 -2250.0000000000
evaluations raw_y
1 -2006.0000000000
2 -1958.0000000000
7 -1931.0000000000
15 -1927.0000000000
397 -1920.0000000000
399 -1917.0000000000
405 -1896.0000000000
799 -1891.0000000000
829 -1864.0000000000
1585 -1843.0000000000
1603 -1840.0000000000
1981 -1822.0000000000
2005 -1820.0000000000
2405 -1813.0000000000
2419 -1807.0000000000
2775 -1803.0000000000
2785 -1802.0000000000
3177 -1798.0000000000
3191 -1796.0000000000
3575 -1777.0000000000
3601 -1767.0000000000
3977 -1766.0000000000
4359 -1749.0000000000
4367 -1739.0000000000
4757 -1735.0000000000
5157 -1732.0000000000
5179 -1726.0000000000
5191 -1725.0000000000
5553 -1723.0000000000
5557 -1721.0000000000
5561 -1720.0000000000
5579 -1710.0000000000
5951 -1706.0000000000
6339 -1700.0000000000
6345 -1690.0000000000
7161 -1683.0000000000
7551 -1682.0000000000
7923 -1680.0000000000
7925 -1670.0000000000
8321 -1668.0000000000
8359 -1657.0000000000
8715 -1653.0000000000
9121 -1647.0000000000
9133 -1645.0000000000
9507 -1642.0000000000
9915 -1636.0000000000
10296 -1648.0000000000
evaluations raw_y
1 -1992.0000000000
3 -1975.0000000000
4 -1945.0000000000
16 -1929.0000000000
27 -1904.0000000000
437 -1893.0000000000
803 -1884.0000000000
807 -1881.0000000000
831 -1866.0000000000
833 -1863.0000000000
1197 -1859.0000000000
1209 -1845.0000000000
1587 -1844.0000000000
1591 -1836.0000000000
1595 -1831.0000000000
1987 -1823.0000000000
2005 -1820.0000000000
2385 -1815.0000000000
2393 -1784.0000000000
2779 -1782.0000000000
2811 -1781.0000000000
2813 -1780.0000000000
3175 -1759.0000000000
3181 -1757.0000000000
3567 -1748.0000000000
3973 -1745.0000000000
3975 -1743.0000000000
3983 -1741.0000000000
4359 -1740.0000000000
4383 -1738.0000000000
4789 -1722.0000000000
5167 -1712.0000000000
5169 -1696.0000000000
6353 -1682.0000000000
6751 -1681.0000000000
6757 -1673.0000000000
7137 -1662.0000000000
7533 -1655.0000000000
7939 -1646.0000000000
8337 -1638.0000000000
8721 -1637.0000000000
9109 -1636.0000000000
9111 -1632.0000000000
9137 -1622.0000000000
9527 -1621.0000000000
9907 -1619.0000000000
9911 -1610.0000000000
10296 -1636.0000000000
evaluations raw_y
1 -1964.0000000000
4 -1957.0000000000
7 -1943.0000000000
20 -1918.0000000000
32 -1917.0000000000
44 -1899.0000000000
401 -1887.0000000000
425 -1875.0000000000
803 -1874.0000000000
1203 -1838.0000000000
1593 -1825.0000000000
2017 -1813.0000000000
2419 -1808.0000000000
2791 -1797.0000000000
3201 -1793.0000000000
3575 -1777.0000000000
3601 -1773.0000000000
3967 -1767.0000000000
3981 -1761.0000000000
4369 -1756.0000000000
4765 -1754.0000000000
4777 -1736.0000000000
5163 -1735.0000000000
5551 -1726.0000000000
5569 -1710.0000000000
5953 -1697.0000000000
7151 -1686.0000000000
7563 -1681.0000000000
7923 -1673.0000000000
8739 -1666.0000000000
9109 -1662.0000000000
9143 -1657.0000000000
9901 -1656.0000000000
10296 -2263.0000000000
evaluations raw_y
1 -1964.0000000000
2 -1948.0000000000
12 -1925.0000000000
13 -1900.0000000000
397 -1889.0000000000
795 -1867.0000000000
1189 -1862.0000000000
1211 -1848.0000000000
1217 -1847.0000000000
1587 -1823.0000000000
1983 -1819.0000000000
2021 -1817.0000000000
2379 -1812.0000000000
2389 -1810.0000000000
2415 -1809.0000000000
2785 -1797.0000000000
2803 -1796.0000000000
3175 -1773.0000000000
3597 -1768.0000000000
3963 -1764.0000000000
4397 -1750.0000000000
4763 -1747.0000000000
4781 -1743.0000000000
5165 -1741.0000000000
5549 -1712.0000000000
6341 -1697.0000000000
6347 -1685.0000000000
7153 -1680.0000000000
7529 -1679.0000000000
7539 -1671.0000000000
7923 -1646.0000000000
9113 -1628.0000000000
10296 -2299.0000000000
evaluations raw_y
1 -2009.0000000000
2 -1983.0000000000
3 -1926.0000000000
15 -1897.0000000000
413 -1895.0000000000
415 -1890.0000000000
431 -1889.0000000000
795 -1880.0000000000
809 -1879.0000000000
1189 -1873.0000000000
1207 -1847.0000000000
1225 -1826.0000000000
2019 -1825.0000000000
2021 -1814.0000000000
2787 -1810.0000000000
2805 -1805.0000000000
3175 -1800.0000000000
3183 -1798.0000000000
3207 -1780.0000000000
3961 -1778.0000000000
3989 -1774.0000000000
4371 -1766.0000000000
4389 -1762.0000000000
4763 -1750.0000000000
5171 -1748.0000000000
5551 -1736.0000000000
5567 -1731.0000000000
5961 -1727.0000000000
6359 -1713.0000000000
6759 -1711.0000000000
6761 -1705.0000000000
7139 -1702.0000000000
7547 -1699.0000000000
7935 -1696.0000000000
8319 -1678.0000000000
8717 -1675.0000000000
9133 -1673.0000000000
9507 -1670.0000000000
9905 -1669.0000000000
9919 -1667.0000000000
9937 -1666.0000000000
10296 -1667.0000000000
evaluations raw_y
1 -1969.0000000000
2 -1954.0000000000
4 -1903.0000000000
29 -1875.0000000000
417 -1871.0000000000
827 -1868.0000000000
1191 -1867.0000000000
1197 -1864.0000000000
1209 -1841.0000000000
1585 -1833.0000000000
1597 -1831.0000000000
2009 -1818.0000000000
2381 -1814.0000000000
2383 -1812.0000000000
2801 -1807.0000000000
3173 -1791.0000000000
3583 -1781.0000000000
3971 -1764.0000000000
4381 -1759.0000000000
4397 -1754.0000000000
4777 -1753.0000000000
5165 -1751.0000000000
5171 -1741.0000000000
5559 -1736.0000000000
5575 -1730.0000000000
5583 -1725.0000000000
5973 -1703.0000000000
7527 -1702.0000000000
7529 -1694.0000000000
7547 -1690.0000000000
7921 -1681.0000000000
7933 -1675.0000000000
9125 -1663.0000000000
9931 -1660.0000000000
10296 -2274.0000000000
evaluations raw_y
1 -1956.0000000000
2 -1952.0000000000
6 -1951.0000000000
7 -1936.0000000000
15 -1915.0000000000
30 -1909.0000000000
411 -1902.0000000000
413 -1891.0000000000
813 -1871.0000000000
1209 -1869.0000000000
1229 -1858.0000000000
1585 -1857.0000000000
1591 -1856.0000000000
1617 -1851.0000000000
1627 -1843.0000000000
1997 -1840.0000000000
2009 -1822.0000000000
2381 -1816.0000000000
2389 -1807.0000000000
2393 -1792.0000000000
2783 -1778.0000000000
3185 -1770.0000000000
3571 -1759.0000000000
3975 -1755.0000000000
3997 -1744.0000000000
4365 -1741.0000000000
4371 -1730.0000000000
5163 -1727.0000000000
5553 -1726.0000000000
5563 -1719.0000000000
5575 -1717.0000000000
5955 -1711.0000000000
5963 -1703.0000000000
6355 -1700.0000000000
6367 -1694.0000000000
6373 -1673.0000000000
7531 -1667.0000000000
7929 -1658.0000000000
8333 -1656.0000000000
8739 -1655.0000000000
8743 -1654.0000000000
8753 -1649.0000000000
9113 -1624.0000000000
9505 -1618.0000000000
9905 -1617.0000000000
10296 -2292.0000000000
evaluations raw_y
1 -1925.0000000000
5 -1908.0000000000
28 -1902.0000000000
401 -1891.0000000000
801 -1889.0000000000
811 -1873.0000000000
829 -1868.0000000000
1211 -1837.0000000000
1591 -1811.0000000000
2013 -1807.0000000000
2405 -1797.0000000000
2781 -1779.0000000000
3173 -1762.0000000000
3569 -1752.0000000000
3585 -1744.0000000000
3981 -1741.0000000000
4357 -1733.0000000000
4375 -1730.0000000000
4759 -1725.0000000000
4789 -1721.0000000000
5155 -1708.0000000000
5547 -1689.0000000000
6343 -1686.0000000000
6361 -1679.0000000000
6757 -1675.0000000000
7129 -1662.0000000000
7527 -1653.0000000000
7549 -1652.0000000000
7933 -1642.0000000000
8319 -1640.0000000000
8335 -1637.0000000000
8349 -1635.0000000000
8715 -1629.0000000000
9919 -1622.0000000000
10296 -2279.0000000000
evaluations raw_y
1 -1998.0000000000
2 -1947.0000000000
10 -1933.0000000000
11 -1923.0000000000
19 -1872.0000000000
399 -1845.0000000000
803 -1840.0000000000
825 -1828.0000000000
831 -1823.0000000000
1189 -1815.0000000000
1607 -1792.0000000000
1999 -1784.0000000000
2391 -1759.0000000000
2789 -1753.0000000000
3575 -1747.0000000000
3593 -1743.0000000000
3977 -1731.0000000000
4361 -1728.0000000000
4365 -1717.0000000000
4767 -1714.0000000000
5151 -1713.0000000000
5161 -1710.0000000000
5169 -1707.0000000000
5549 -1706.0000000000
5559 -1701.0000000000
5943 -1691.0000000000
5947 -1687.0000000000
5963 -1686.0000000000
