evaluations raw_y
1 717981.2316156036
4 733141.7853737208
429 739113.1387255252
793 739937.4019314530
1205 742255.2528723711
1209 752861.5869194580
1609 762519.0676467677
2015 767213.7701926755
2391 767913.8721994831
2781 769320.9342082036
2783 774257.4742376986
3175 775410.7316536420
3569 779393.1965711206
3599 780668.9202121125
3969 780924.3788422524
3983 782104.6186527712
3999 788229.2501751379
4357 793694.4869334802
4765 805076.5515912642
5979 810578.7108595929
7149 812360.9615376794
7535 816397.6915484057
7933 820111.6404277431
8723 820330.7487545330
8743 825221.4988814627
9135 825683.7712459698
9145 828795.9954433021
9149 832090.9408056403
9901 834000.2085461766
10296 819428.0055872923
evaluations raw_y
1 670995.1012874159
2 676130.2303635062
3 682165.2462828824
5 695063.0374029258
8 701308.0476010273
14 701928.5270886814
17 725336.6572843656
405 728642.6052924714
797 738427.7943519200
1205 740702.5787615734
1207 750244.0693646644
1589 754253.4981285945
1997 763598.2595661440
2391 769703.6505880672
2395 773416.2314866845
2785 773980.5806690581
3177 776855.2260179652
3187 777549.8325298487
3573 778604.3105305998
3579 779459.4800965451
3587 783680.2349856608
3971 785026.9783272756
4357 797542.7436282280
4757 799566.4084255028
4781 799639.8528690819
5151 799698.7517559590
5157 810942.5873435423
6353 817197.5184696114
6765 818091.8608514665
7165 819581.1594564847
7531 820175.0037680658
7539 825138.6734370284
8341 826416.7068838100
8717 828094.0242209168
8751 834551.6623472332
9121 835540.8993843865
9145 836781.0292227558
9935 839245.8011290524
9939 842041.7823892016
10296 833375.1081987944
evaluations raw_y
1 661718.3083121530
2 672645.9161449657
3 678298.4496811297
8 709005.2789071872
14 715847.1348862523
36 719145.3416864622
40 728809.7541065506
403 738670.9739576207
793 740475.7461025995
827 742350.2133941029
1189 744483.0366343901
1193 747403.8083088219
1197 748112.0360211631
1199 753674.3282058312
1213 754459.6510095507
1229 755151.5636156425
1589 759895.8466509359
1595 771953.2429816026
1999 774987.6744189034
2003 777211.3502190454
2013 778833.8573067305
2377 784654.1971307943
2379 786463.8031135235
2401 786466.4872696800
2781 786971.9249166695
2783 793474.9000938558
2799 796019.2209928411
3201 797277.9429240229
3569 798479.8974993285
3575 798908.4494608801
3597 801096.6070463605
3973 807552.8258299030
4367 816719.8266667222
4789 818061.3599964454
5163 821640.7385010362
5569 826801.9972115245
5955 828037.9244186955
5961 830117.9976719776
6341 835529.9023069077
6379 836530.4448674531
6761 837775.4698509928
7129 840535.9607593910
7135 842125.1277215501
7529 845958.2562702091
7923 854953.7210817460
8321 858524.9071195305
8747 859663.5155632352
9521 862678.3540093817
9917 863098.4128905258
10296 513826.4004035821
evaluations raw_y
1 716074.1016877302
6 736720.6882369310
811 737091.7184109942
823 737127.5781890791
1191 737972.9863449385
1193 741301.1302012984
1195 746875.0536951043
1223 748413.0116529759
1597 759619.1601764713
1983 761690.9131926605
1991 764435.8429433423
1999 766547.8152248251
2023 766574.1428151870
2379 767701.7784278964
2401 768752.2465590928
2413 769319.3108886079
2779 769433.9970466682
2781 772947.3449592009
3193 777422.4519616948
3597 777651.0087153531
3601 779149.4547577432
3967 783810.5094130086
4395 784932.0828508982
4761 790242.6237815353
4783 792696.9213058855
5183 794116.3676532930
5945 794719.0749722980
5949 795507.1884182604
5955 797207.6538933450
5975 797421.8020270364
6341 800168.8521495258
6355 801827.3586281863
6359 806418.6984500036
6739 810301.3565136773
6759 815840.8293408065
7145 820955.0216885144
7543 825941.5751256965
7925 826127.4821993170
7951 836784.4969675285
8741 836816.4095631362
8747 838090.3773780132
9111 839790.9486120639
9541 840684.0235492156
10296 831944.2878947593
evaluations raw_y
1 693271.8657963247
4 704794.4171284792
30 710894.4786571908
405 713369.6804168690
413 724525.2094445530
793 725702.4000254230
1191 742999.8602363409
1983 745365.4751549284
2021 750370.6303576365
2393 756277.7695737501
2779 757810.2107912429
2783 763807.1840934663
2799 766950.7135378141
3179 767856.2005446071
3191 775868.2203057139
3971 778928.1569063780
3995 782534.9375276599
4377 785150.0264504896
4753 790109.3372920533
5149 791445.8417235696
5167 793398.7366387340
5553 804069.6046704410
5959 812427.3240802045
7137 816218.0799322393
7153 816332.7320003739
7169 817123.3502094147
7527 817482.4630568946
7549 817849.7662941988
7561 827594.9107684358
9109 828106.7581069520
9111 830572.9312664411
9115 832084.1393368368
9509 839846.4427134019
9547 840190.2881889893
10296 533949.0381408770
evaluations raw_y
1 659982.6275749530
2 696565.9394402117
12 699272.2584417028
15 702382.8504648793
18 705121.7507115961
19 707403.9107716545
34 709302.4221633717
41 710812.4014125853
397 720883.6181454724
399 723738.4731699654
799 737720.7403212509
1587 740403.4814335628
1597 749130.1100384659
1989 758621.0453919235
2405 760296.5199361729
2415 760686.8932955994
2789 767230.7272145660
3175 779772.0259629372
3177 781812.7515724958
3575 784407.1285081870
3981 785583.6806952271
3997 788747.0109804760
4387 788786.2669662969
4399 792304.3355551504
5153 797145.8634364336
5573 806046.2796352359
5951 806306.8056382141
6353 811326.1218566839
6739 813241.5401257733
6741 814407.4574528356
6745 815102.4022247890
7133 819907.8855787625
7151 822329.5576119447
7169 824738.3944944594
7551 825202.5125658982
7941 833907.7909398408
8719 835761.9114511432
9115 837853.9189200635
9123 841366.3457730893
9539 849796.7570633014
9925 850278.8987408929
10296 839563.3681381322
evaluations raw_y
1 687636.5910468838
3 700242.9677515796
8 708436.7821701120
9 715175.4021727390
23 718829.1760087311
405 723123.2232304108
409 732186.3522422726
799 755211.5483633403
1189 757882.0757119654
1229 758220.3024172868
1597 767923.8173435089
2377 777148.7380344471
2395 778839.5853228616
2789 779172.9721053822
2795 783537.3337356239
2815 787990.7319962868
3177 795934.4344088963
3977 797134.7539310677
4001 800758.1928463541
4779 803219.0415393711
5553 803315.8744959228
5555 812049.6386967439
5573 814794.4768338006
5947 814882.6999937694
5951 820466.8554701935
6351 821839.7157588861
6745 825563.8194932876
7145 827758.6236874792
7161 830538.7531125360
7533 831031.7082295711
7547 831439.9806330944
7921 834391.6744218830
7939 835436.5741745087
8323 836838.3849956274
8741 839559.1669221426
9511 841771.4847648309
9541 845988.1541757677
9911 846677.6750474893
10296 834595.8544002364
evaluations raw_y
1 693642.3337013997
6 715922.2021350712
20 723114.2416386473
425 725249.9998355418
803 725636.0861128384
805 728896.5632813351
807 730987.2422472383
817 734246.0697225799
835 736795.3511509881
1191 737179.6165951862
1207 743851.6627095393
1591 753593.3790369121
1593 761516.8814935524
1993 762987.2618932457
2397 770660.5565228369
2779 776448.3016782753
3193 787377.0429715049
3591 788638.2111676042
3977 791181.8390790897
3991 791859.0419569772
4357 792862.6645194207
