evaluations raw_y
1 -23.0000000000
2 -17.0000000000
3 -5.0000000000
4 -2.0000000000
53 -1.0000000000
83 631.0000000000
89 636.0000000000
92 642.0000000000
95 645.0000000000
410 -2.0000000000
evaluations raw_y
1 -18.0000000000
2 -13.0000000000
3 -12.0000000000
4 -8.0000000000
6 -5.0000000000
14 -3.0000000000
23 -2.0000000000
68 -1.0000000000
89 610.0000000000
95 617.0000000000
346 627.0000000000
650 -15.0000000000
evaluations raw_y
1 -13.0000000000
2 -9.0000000000
5 -5.0000000000
6 -2.0000000000
23 -1.0000000000
65 596.0000000000
86 599.0000000000
111 626.0000000000
420 -2.0000000000
evaluations raw_y
1 -26.0000000000
2 -19.0000000000
4 -16.0000000000
6 -11.0000000000
10 -7.0000000000
12 -4.0000000000
29 -2.0000000000
83 -1.0000000000
116 573.0000000000
119 597.0000000000
125 600.0000000000
128 616.0000000000
440 -1.0000000000
evaluations raw_y
1 -9.0000000000
2 -6.0000000000
15 -5.0000000000
16 -2.0000000000
29 -1.0000000000
68 596.0000000000
121 608.0000000000
430 -2.0000000000
evaluations raw_y
1 -15.0000000000
2 -10.0000000000
4 -7.0000000000
14 -5.0000000000
20 -4.0000000000
32 -2.0000000000
59 -1.0000000000
89 586.0000000000
101 605.0000000000
188 607.0000000000
432 619.0000000000
740 -7.0000000000
evaluations raw_y
1 -5.0000000000
2 -2.0000000000
26 -1.0000000000
44 555.0000000000
62 623.0000000000
356 633.0000000000
660 -2.0000000000
evaluations raw_y
1 -23.0000000000
2 -17.0000000000
3 -12.0000000000
4 -8.0000000000
6 -6.0000000000
8 -4.0000000000
23 -3.0000000000
51 -2.0000000000
53 578.0000000000
115 590.0000000000
140 596.0000000000
440 -1.0000000000
evaluations raw_y
1 -26.0000000000
2 -19.0000000000
4 -18.0000000000
5 -7.0000000000
6 -4.0000000000
12 -3.0000000000
38 -2.0000000000
71 -1.0000000000
89 568.0000000000
101 613.0000000000
200 634.0000000000
500 -2.0000000000
evaluations raw_y
1 -22.0000000000
2 -16.0000000000
3 -5.0000000000
4 -2.0000000000
35 574.0000000000
87 576.0000000000
236 600.0000000000
286 615.0000000000
304 620.0000000000
315 621.0000000000
571 631.0000000000
880 -78.0000000000
evaluations raw_y
1 -7.0000000000
2 -4.0000000000
38 -2.0000000000
74 -1.0000000000
104 586.0000000000
116 590.0000000000
122 603.0000000000
128 612.0000000000
440 -1.0000000000
evaluations raw_y
1 -17.0000000000
2 -12.0000000000
8 -11.0000000000
11 -9.0000000000
12 -6.0000000000
35 -4.0000000000
71 -3.0000000000
80 -2.0000000000
86 -1.0000000000
143 600.0000000000
149 601.0000000000
152 630.0000000000
158 645.0000000000
298 651.0000000000
600 622.0000000000
evaluations raw_y
1 -24.0000000000
2 -18.0000000000
4 -14.0000000000
11 -11.0000000000
12 -7.0000000000
62 -6.0000000000
83 -5.0000000000
89 -4.0000000000
113 -2.0000000000
143 -1.0000000000
179 594.0000000000
197 620.0000000000
404 626.0000000000
710 -3.0000000000
evaluations raw_y
1 -13.0000000000
2 -9.0000000000
4 -7.0000000000
23 -5.0000000000
62 -3.0000000000
89 -2.0000000000
113 -1.0000000000
146 551.0000000000
149 576.0000000000
366 579.0000000000
462 585.0000000000
770 -1.0000000000
evaluations raw_y
1 -16.0000000000
2 -11.0000000000
3 -8.0000000000
4 -5.0000000000
10 -2.0000000000
32 -1.0000000000
83 631.0000000000
410 -1.0000000000
evaluations raw_y
1 -20.0000000000
2 -14.0000000000
3 -10.0000000000
4 -6.0000000000
8 -5.0000000000
35 -3.0000000000
62 -2.0000000000
92 -1.0000000000
116 628.0000000000
173 641.0000000000
480 -4.0000000000
evaluations raw_y
1 -5.0000000000
2 -2.0000000000
38 -1.0000000000
53 622.0000000000
115 627.0000000000
155 638.0000000000
159 640.0000000000
444 642.0000000000
453 649.0000000000
759 653.0000000000
1060 -18.0000000000
evaluations raw_y
1 -6.0000000000
2 -3.0000000000
26 -2.0000000000
56 -1.0000000000
122 561.0000000000
180 563.0000000000
185 568.0000000000
224 598.0000000000
530 -2.0000000000
evaluations raw_y
1 -23.0000000000
2 -17.0000000000
5 -8.0000000000
6 -5.0000000000
8 -2.0000000000
26 -1.0000000000
62 608.0000000000
68 609.0000000000
83 611.0000000000
173 612.0000000000
278 614.0000000000
294 622.0000000000
600 -1.0000000000
evaluations raw_y
1 -21.0000000000
2 -15.0000000000
4 -14.0000000000
5 -6.0000000000
6 -3.0000000000
16 -2.0000000000
23 -1.0000000000
71 605.0000000000
101 638.0000000000
143 643.0000000000
378 644.0000000000
577 649.0000000000
880 -3.0000000000
evaluations raw_y
1 -14.0000000000
2 -10.0000000000
4 -6.0000000000
10 -5.0000000000
26 -4.0000000000
41 -3.0000000000
59 -2.0000000000
89 -1.0000000000
128 584.0000000000
134 605.0000000000
172 606.0000000000
205 612.0000000000
212 622.0000000000
520 -1.0000000000
evaluations raw_y
1 -23.0000000000
2 -17.0000000000
3 -7.0000000000
4 -4.0000000000
16 -2.0000000000
29 -1.0000000000
65 553.0000000000
83 563.0000000000
144 590.0000000000
240 593.0000000000
257 594.0000000000
446 601.0000000000
750 -3.0000000000
evaluations raw_y
1 -19.0000000000
2 -14.0000000000
4 -10.0000000000
11 -8.0000000000
12 -5.0000000000
18 -3.0000000000
20 -2.0000000000
23 -1.0000000000
56 596.0000000000
59 616.0000000000
150 622.0000000000
450 -1.0000000000
evaluations raw_y
1 -17.0000000000
2 -12.0000000000
3 -5.0000000000
4 -2.0000000000
38 -1.0000000000
77 605.0000000000
148 623.0000000000
161 629.0000000000
430 635.0000000000
604 646.0000000000
906 -341.0000000000
evaluations raw_y
1 -14.0000000000
2 -10.0000000000
5 -6.0000000000
6 -3.0000000000
12 -2.0000000000
29 -1.0000000000
71 583.0000000000
95 589.0000000000
410 -3.0000000000
evaluations raw_y
1 -13.0000000000
2 -9.0000000000
11 -8.0000000000
12 -5.0000000000
20 -4.0000000000
50 -2.0000000000
65 -1.0000000000
110 617.0000000000
140 620.0000000000
440 -24.0000000000
evaluations raw_y
1 -23.0000000000
2 -17.0000000000
4 -14.0000000000
8 -13.0000000000
12 -10.0000000000
13 -5.0000000000
14 -2.0000000000
41 -1.0000000000
92 566.0000000000
95 574.0000000000
101 576.0000000000
137 585.0000000000
148 594.0000000000
264 604.0000000000
456 617.0000000000
760 -2.0000000000
evaluations raw_y
1 -26.0000000000
2 -19.0000000000
3 -16.0000000000
4 -11.0000000000
7 -8.0000000000
8 -5.0000000000
23 -3.0000000000
68 -2.0000000000
86 -1.0000000000
128 629.0000000000
209 631.0000000000
267 633.0000000000
568 -1.0000000000
evaluations raw_y
1 -18.0000000000
2 -13.0000000000
5 -11.0000000000
6 -7.0000000000
8 -5.0000000000
53 -4.0000000000
56 -3.0000000000
86 -2.0000000000
113 -1.0000000000
116 583.0000000000
174 592.0000000000
178 595.0000000000
201 625.0000000000
506 -1.0000000000
evaluations raw_y
1 -19.0000000000
2 -14.0000000000
3 -9.0000000000
4 -6.0000000000
8 -5.0000000000
23 -3.0000000000
56 -2.0000000000
83 -1.0000000000
125 604.0000000000
134 608.0000000000
289 623.0000000000
590 -8.0000000000
