evaluations raw_y
1 -134.0000000000
2 -104.0000000000
4 -93.0000000000
6 -72.0000000000
12 -66.0000000000
16 -51.0000000000
23 -50.0000000000
38 -38.0000000000
56 -33.0000000000
62 -28.0000000000
89 -25.0000000000
95 -21.0000000000
98 -20.0000000000
113 -16.0000000000
119 -13.0000000000
143 -12.0000000000
146 -9.0000000000
152 -8.0000000000
176 -7.0000000000
179 -4.0000000000
203 250.9600000000
274 252.0400000000
316 253.4400000000
391 260.8400000000
700 -2.0000000000
evaluations raw_y
1 -68.0000000000
2 -51.0000000000
23 -42.0000000000
26 -41.0000000000
47 -39.0000000000
53 -30.0000000000
83 -23.0000000000
86 -21.0000000000
107 -20.0000000000
113 -16.0000000000
122 -14.0000000000
128 -13.0000000000
149 -8.0000000000
173 -5.0000000000
176 -4.0000000000
203 -2.0000000000
206 137.9000000000
227 146.1400000000
284 152.2800000000
438 156.0800000000
740 -3.0000000000
evaluations raw_y
1 -175.0000000000
2 -136.0000000000
3 -63.0000000000
4 -47.0000000000
23 -35.0000000000
53 -25.0000000000
86 -17.0000000000
92 -16.0000000000
113 -11.0000000000
134 -8.0000000000
149 -6.0000000000
167 -4.0000000000
182 -2.0000000000
191 -1.0000000000
203 163.5400000000
206 167.7500000000
237 181.8500000000
288 189.1400000000
390 196.0800000000
696 -1.0000000000
evaluations raw_y
1 -94.0000000000
2 -72.0000000000
4 -70.0000000000
10 -67.0000000000
17 -66.0000000000
18 -49.0000000000
32 -36.0000000000
62 -26.0000000000
89 -19.0000000000
92 -18.0000000000
113 -12.0000000000
143 -7.0000000000
173 -3.0000000000
203 166.9700000000
301 178.4100000000
341 181.1500000000
407 187.2200000000
710 -1.0000000000
evaluations raw_y
1 -167.0000000000
2 -130.0000000000
3 -106.0000000000
4 -81.0000000000
5 -68.0000000000
6 -51.0000000000
23 -46.0000000000
35 -41.0000000000
38 -40.0000000000
50 -39.0000000000
53 -29.0000000000
83 -23.0000000000
95 -22.0000000000
101 -20.0000000000
113 -16.0000000000
122 -13.0000000000
149 -8.0000000000
173 -5.0000000000
179 -4.0000000000
203 -1.0000000000
206 172.7000000000
242 172.9100000000
548 184.8500000000
694 193.6400000000
1000 -2.0000000000
evaluations raw_y
1 -145.0000000000
2 -112.0000000000
3 -96.0000000000
4 -73.0000000000
8 -68.0000000000
14 -55.0000000000
23 -48.0000000000
26 -41.0000000000
53 -31.0000000000
59 -30.0000000000
83 -24.0000000000
98 -23.0000000000
110 -22.0000000000
119 -16.0000000000
143 -11.0000000000
149 -10.0000000000
176 -8.0000000000
185 -6.0000000000
188 -5.0000000000
215 -4.0000000000
221 -1.0000000000
236 128.2100000000
239 143.4700000000
245 161.6200000000
288 178.6900000000
594 -1.0000000000
evaluations raw_y
1 -164.0000000000
2 -128.0000000000
6 -125.0000000000
7 -77.0000000000
8 -58.0000000000
23 -46.0000000000
44 -44.0000000000
53 -33.0000000000
71 -32.0000000000
83 -28.0000000000
86 -24.0000000000
104 -23.0000000000
116 -17.0000000000
125 -16.0000000000
143 -10.0000000000
173 -5.0000000000
206 -2.0000000000
212 -1.0000000000
233 157.2600000000
265 166.5400000000
280 168.9100000000
329 182.4500000000
527 183.1000000000
830 -1.0000000000
evaluations raw_y
1 -174.0000000000
2 -136.0000000000
3 -132.0000000000
4 -102.0000000000
6 -95.0000000000
15 -88.0000000000
16 -67.0000000000
17 -61.0000000000
18 -45.0000000000
29 -36.0000000000
32 -33.0000000000
53 -24.0000000000
83 -16.0000000000
113 -10.0000000000
143 -8.0000000000
146 -5.0000000000
176 -1.0000000000
203 120.8900000000
209 127.8400000000
227 135.9700000000
472 140.2700000000
495 141.3700000000
521 154.8600000000
532 158.6300000000
840 -264.0000000000
evaluations raw_y
1 -121.0000000000
2 -93.0000000000
12 -90.0000000000
14 -78.0000000000
17 -77.0000000000
18 -58.0000000000
23 -44.0000000000
53 -34.0000000000
56 -32.0000000000
86 -28.0000000000
89 -24.0000000000
92 -23.0000000000
113 -16.0000000000
143 -14.0000000000
146 -11.0000000000
155 -10.0000000000
176 -5.0000000000
206 -2.0000000000
236 128.2400000000
242 134.9900000000
279 147.1400000000
288 149.7900000000
588 -363.0000000000
evaluations raw_y
1 -136.0000000000
2 -105.0000000000
9 -70.0000000000
10 -52.0000000000
20 -46.0000000000
29 -44.0000000000
