evaluations raw_y
1 -2010.0000000000
2 -2009.0000000000
3 -2008.0000000000
22 -2007.0000000000
43 -2006.0000000000
51 -2005.0000000000
52 -2004.0000000000
59 -2003.0000000000
167 -2002.0000000000
169 -2001.0000000000
210 -2000.0000000000
259 -1999.0000000000
276 -1998.0000000000
305 -1997.0000000000
350 -1995.0000000000
378 -1993.0000000000
386 -1992.0000000000
427 -1991.0000000000
436 -1989.0000000000
486 -1988.0000000000
557 -1987.0000000000
579 -1985.0000000000
723 -1984.0000000000
740 -1981.0000000000
794 -1980.0000000000
797 -1979.0000000000
822 -1978.0000000000
888 -1977.0000000000
1010 -1976.0000000000
1031 -1975.0000000000
1071 -1973.0000000000
1087 -1972.0000000000
1243 -1970.0000000000
1310 -1969.0000000000
1313 -1968.0000000000
1418 -1967.0000000000
1506 -1965.0000000000
1686 -1964.0000000000
1743 -1963.0000000000
1828 -1962.0000000000
1887 -1960.0000000000
2093 -1959.0000000000
2095 -1958.0000000000
2143 -1957.0000000000
2223 -1956.0000000000
2284 -1955.0000000000
2285 -1954.0000000000
2465 -1953.0000000000
2528 -1952.0000000000
2839 -1949.0000000000
2856 -1947.0000000000
2941 -1944.0000000000
3091 -1943.0000000000
3270 -1942.0000000000
3308 -1939.0000000000
3579 -1938.0000000000
3596 -1937.0000000000
3616 -1935.0000000000
4511 -1934.0000000000
4588 -1933.0000000000
4939 -1932.0000000000
5216 -1931.0000000000
5356 -1929.0000000000
5424 -1928.0000000000
5553 -1927.0000000000
5863 -1926.0000000000
6118 -1925.0000000000
6325 -1924.0000000000
6540 -1923.0000000000
6649 -1922.0000000000
6696 -1920.0000000000
7290 -1919.0000000000
7501 -1918.0000000000
7753 -1917.0000000000
8234 -1916.0000000000
8361 -1915.0000000000
8865 -1913.0000000000
9504 -1912.0000000000
9581 -1911.0000000000
10000 -1968.0000000000
evaluations raw_y
1 -2057.0000000000
5 -2056.0000000000
10 -2054.0000000000
21 -2052.0000000000
86 -2050.0000000000
98 -2049.0000000000
115 -2048.0000000000
123 -2047.0000000000
129 -2046.0000000000
146 -2045.0000000000
162 -2043.0000000000
171 -2042.0000000000
212 -2041.0000000000
232 -2040.0000000000
268 -2039.0000000000
324 -2038.0000000000
347 -2037.0000000000
359 -2035.0000000000
423 -2034.0000000000
490 -2033.0000000000
542 -2032.0000000000
547 -2031.0000000000
598 -2030.0000000000
748 -2028.0000000000
773 -2027.0000000000
857 -2026.0000000000
875 -2025.0000000000
965 -2024.0000000000
976 -2023.0000000000
1042 -2022.0000000000
1116 -2021.0000000000
1247 -2019.0000000000
1374 -2018.0000000000
1543 -2017.0000000000
1560 -2014.0000000000
1745 -2013.0000000000
1825 -2012.0000000000
1936 -2011.0000000000
1945 -2010.0000000000
2110 -2009.0000000000
2128 -2008.0000000000
2241 -2006.0000000000
2251 -2005.0000000000
2360 -2004.0000000000
2554 -2003.0000000000
2634 -2002.0000000000
2714 -2001.0000000000
2720 -2000.0000000000
2743 -1999.0000000000
2871 -1998.0000000000
2903 -1997.0000000000
3025 -1996.0000000000
3086 -1995.0000000000
3285 -1994.0000000000
3854 -1993.0000000000
4520 -1992.0000000000
4690 -1989.0000000000
4922 -1988.0000000000
4924 -1987.0000000000
5076 -1986.0000000000
5151 -1985.0000000000
5165 -1984.0000000000
5262 -1983.0000000000
5489 -1981.0000000000
5562 -1980.0000000000
5756 -1979.0000000000
5973 -1976.0000000000
6041 -1975.0000000000
6139 -1974.0000000000
6177 -1973.0000000000
6282 -1972.0000000000
6356 -1971.0000000000
6957 -1969.0000000000
7073 -1968.0000000000
7518 -1966.0000000000
7562 -1965.0000000000
8249 -1964.0000000000
8282 -1963.0000000000
8606 -1962.0000000000
8896 -1961.0000000000
8907 -1959.0000000000
9130 -1958.0000000000
9325 -1957.0000000000
9462 -1956.0000000000
9592 -1955.0000000000
9867 -1954.0000000000
10000 -1962.0000000000
evaluations raw_y
1 -2003.0000000000
6 -2002.0000000000
7 -2000.0000000000
11 -1999.0000000000
13 -1997.0000000000
27 -1996.0000000000
32 -1995.0000000000
41 -1994.0000000000
44 -1993.0000000000
168 -1992.0000000000
194 -1990.0000000000
220 -1989.0000000000
244 -1988.0000000000
295 -1987.0000000000
352 -1986.0000000000
384 -1985.0000000000
430 -1984.0000000000
485 -1983.0000000000
548 -1982.0000000000
666 -1981.0000000000
951 -1980.0000000000
985 -1978.0000000000
1042 -1977.0000000000
1073 -1976.0000000000
1203 -1975.0000000000
1264 -1974.0000000000
1279 -1973.0000000000
1353 -1972.0000000000
1368 -1971.0000000000
1370 -1969.0000000000
1451 -1968.0000000000
1505 -1967.0000000000
1621 -1965.0000000000
1791 -1964.0000000000
1891 -1963.0000000000
2013 -1962.0000000000
2075 -1960.0000000000
2158 -1959.0000000000
2380 -1958.0000000000
2461 -1957.0000000000
2648 -1956.0000000000
2813 -1955.0000000000
2846 -1954.0000000000
2866 -1952.0000000000
2996 -1951.0000000000
3003 -1950.0000000000
3285 -1949.0000000000
3317 -1948.0000000000
3365 -1947.0000000000
3418 -1945.0000000000
3433 -1943.0000000000
3579 -1942.0000000000
3647 -1941.0000000000
3839 -1940.0000000000
4133 -1939.0000000000
4227 -1937.0000000000
4252 -1936.0000000000
4446 -1933.0000000000
4619 -1932.0000000000
4760 -1931.0000000000
5045 -1929.0000000000
5131 -1928.0000000000
5161 -1927.0000000000
5202 -1926.0000000000
5396 -1925.0000000000
5421 -1924.0000000000
5602 -1922.0000000000
6157 -1920.0000000000
6630 -1919.0000000000
6732 -1918.0000000000
7726 -1917.0000000000
7736 -1915.0000000000
8368 -1914.0000000000
8411 -1912.0000000000
8430 -1911.0000000000
8524 -1910.0000000000
8734 -1909.0000000000
9319 -1908.0000000000
9512 -1907.0000000000
9564 -1906.0000000000
9601 -1905.0000000000
9792 -1904.0000000000
10000 -1925.0000000000
evaluations raw_y
1 -2025.0000000000
4 -2024.0000000000
5 -2023.0000000000
16 -2022.0000000000
20 -2021.0000000000
24 -2020.0000000000
27 -2019.0000000000
40 -2018.0000000000
47 -2016.0000000000
51 -2015.0000000000
65 -2013.0000000000
98 -2012.0000000000
143 -2011.0000000000
169 -2010.0000000000
189 -2009.0000000000
239 -2008.0000000000
264 -2007.0000000000
347 -2006.0000000000
377 -2004.0000000000
479 -2003.0000000000
545 -2002.0000000000
564 -2000.0000000000
670 -1999.0000000000
671 -1998.0000000000
725 -1996.0000000000
789 -1995.0000000000
909 -1994.0000000000
961 -1993.0000000000
1055 -1992.0000000000
1095 -1991.0000000000
1161 -1989.0000000000
1191 -1988.0000000000
1239 -1987.0000000000
1344 -1986.0000000000
1364 -1985.0000000000
1451 -1984.0000000000
1529 -1983.0000000000
1575 -1982.0000000000
1912 -1981.0000000000
2357 -1980.0000000000
2430 -1979.0000000000
2452 -1977.0000000000
2484 -1976.0000000000
2592 -1975.0000000000
2610 -1974.0000000000
2738 -1973.0000000000
2769 -1972.0000000000
2829 -1971.0000000000
2910 -1970.0000000000
3134 -1969.0000000000
3189 -1965.0000000000
3223 -1963.0000000000
3236 -1962.0000000000
3421 -1961.0000000000
3429 -1960.0000000000
3944 -1959.0000000000
4027 -1958.0000000000
4146 -1957.0000000000
4426 -1956.0000000000
5165 -1955.0000000000
5185 -1954.0000000000
5242 -1953.0000000000
5281 -1952.0000000000
5680 -1951.0000000000
5700 -1949.0000000000
5888 -1947.0000000000
6017 -1946.0000000000
6048 -1945.0000000000
6352 -1944.0000000000
6408 -1943.0000000000
6540 -1942.0000000000
6734 -1939.0000000000
7486 -1938.0000000000
8000 -1937.0000000000
8326 -1935.0000000000
8548 -1934.0000000000
8850 -1933.0000000000
9522 -1932.0000000000
9531 -1931.0000000000
9703 -1930.0000000000
9800 -1929.0000000000
9974 -1928.0000000000
10000 -2009.0000000000
evaluations raw_y
1 -1977.0000000000
2 -1976.0000000000
4 -1975.0000000000
8 -1974.0000000000
13 -1973.0000000000
21 -1971.0000000000
42 -1970.0000000000
65 -1969.0000000000
69 -1967.0000000000
70 -1966.0000000000
88 -1965.0000000000
111 -1964.0000000000
199 -1963.0000000000
318 -1962.0000000000
383 -1961.0000000000
395 -1960.0000000000
443 -1959.0000000000
625 -1957.0000000000
626 -1956.0000000000
681 -1955.0000000000
745 -1954.0000000000
778 -1953.0000000000
921 -1952.0000000000
982 -1951.0000000000
1086 -1950.0000000000
1253 -1949.0000000000
1258 -1948.0000000000
1463 -1947.0000000000
1572 -1946.0000000000
1615 -1945.0000000000
1698 -1944.0000000000
2004 -1943.0000000000
2282 -1942.0000000000
2370 -1941.0000000000
2462 -1940.0000000000
2466 -1939.0000000000
2586 -1938.0000000000
2599 -1937.0000000000
2617 -1935.0000000000
2663 -1933.0000000000
3097 -1931.0000000000
3194 -1930.0000000000
3328 -1929.0000000000
3340 -1928.0000000000
3815 -1927.0000000000
3895 -1926.0000000000
4065 -1925.0000000000
4126 -1924.0000000000
4240 -1922.0000000000
4502 -1919.0000000000
4749 -1918.0000000000
4868 -1917.0000000000
5370 -1916.0000000000
5525 -1915.0000000000
5605 -1914.0000000000
5636 -1913.0000000000
5857 -1912.0000000000
6654 -1911.0000000000
6721 -1910.0000000000
6747 -1909.0000000000
6775 -1906.0000000000
7560 -1905.0000000000
7623 -1903.0000000000
7906 -1902.0000000000
7922 -1901.0000000000
7969 -1900.0000000000
7978 -1899.0000000000
8059 -1898.0000000000
8084 -1897.0000000000
8744 -1896.0000000000
8895 -1894.0000000000
8988 -1893.0000000000
9004 -1892.0000000000
9268 -1890.0000000000
9603 -1888.0000000000
10000 -1938.0000000000
evaluations raw_y
1 -1998.0000000000
4 -1997.0000000000
9 -1996.0000000000
12 -1995.0000000000
17 -1994.0000000000
56 -1993.0000000000
71 -1992.0000000000
78 -1991.0000000000
80 -1990.0000000000
85 -1989.0000000000
125 -1988.0000000000
160 -1987.0000000000
171 -1986.0000000000
195 -1985.0000000000
230 -1984.0000000000
294 -1983.0000000000
312 -1982.0000000000
338 -1981.0000000000
344 -1980.0000000000
484 -1979.0000000000
509 -1978.0000000000
617 -1977.0000000000
702 -1976.0000000000
725 -1975.0000000000
844 -1973.0000000000
1048 -1972.0000000000
1130 -1971.0000000000
1144 -1970.0000000000
1218 -1969.0000000000
1277 -1968.0000000000
1421 -1966.0000000000
1455 -1965.0000000000
1543 -1964.0000000000
1912 -1963.0000000000
2058 -1962.0000000000
2153 -1960.0000000000
2321 -1959.0000000000
2639 -1958.0000000000
2655 -1957.0000000000
2667 -1956.0000000000
2753 -1954.0000000000
2903 -1953.0000000000
3297 -1952.0000000000
3401 -1951.0000000000
3484 -1950.0000000000
3503 -1949.0000000000
3606 -1948.0000000000
3690 -1947.0000000000
3737 -1946.0000000000
3815 -1945.0000000000
3850 -1943.0000000000
3909 -1942.0000000000
3994 -1941.0000000000
4004 -1940.0000000000
4134 -1939.0000000000
4184 -1937.0000000000
4279 -1936.0000000000
4296 -1934.0000000000
4421 -1932.0000000000
4427 -1931.0000000000
4487 -1930.0000000000
4595 -1929.0000000000
5000 -1928.0000000000
5519 -1927.0000000000
5938 -1926.0000000000
5957 -1925.0000000000
6104 -1924.0000000000
6340 -1923.0000000000
6456 -1922.0000000000
6877 -1921.0000000000
6907 -1920.0000000000
7896 -1919.0000000000
7999 -1917.0000000000
8287 -1916.0000000000
8678 -1915.0000000000
8792 -1914.0000000000
9030 -1912.0000000000
9128 -1911.0000000000
9170 -1910.0000000000
9231 -1909.0000000000
9343 -1908.0000000000
9590 -1906.0000000000
9675 -1905.0000000000
9747 -1904.0000000000
9962 -1903.0000000000
9981 -1900.0000000000
10000 -1945.0000000000
evaluations raw_y
1 -1955.0000000000
3 -1954.0000000000
7 -1953.0000000000
12 -1952.0000000000
16 -1950.0000000000
23 -1949.0000000000
34 -1948.0000000000
67 -1947.0000000000
90 -1946.0000000000
99 -1945.0000000000
234 -1944.0000000000
236 -1943.0000000000
344 -1942.0000000000
351 -1941.0000000000
393 -1940.0000000000
478 -1939.0000000000
501 -1936.0000000000
512 -1935.0000000000
514 -1934.0000000000
537 -1933.0000000000
685 -1932.0000000000
803 -1929.0000000000
950 -1927.0000000000
1004 -1926.0000000000
1175 -1925.0000000000
1264 -1924.0000000000
1409 -1923.0000000000
1449 -1922.0000000000
1498 -1921.0000000000
1620 -1920.0000000000
1826 -1919.0000000000
1996 -1917.0000000000
2222 -1916.0000000000
2406 -1915.0000000000
2620 -1914.0000000000
2655 -1913.0000000000
2688 -1912.0000000000
2868 -1911.0000000000
2930 -1910.0000000000
2966 -1909.0000000000
3234 -1908.0000000000
