evaluations raw_y
1 -298931.1000000000
2 -298422.1000000000
5 -295935.1000000000
31 -295654.1000000000
74 -295641.1000000000
89 -295476.1000000000
253 -295464.1000000000
307 -294783.1000000000
494 -294564.1000000000
710 -293765.1000000000
1208 -293286.1000000000
1331 -292494.1000000000
2582 -292402.1000000000
3326 -291347.1000000000
5000 -291159.1000000000
10001 -299331.1000000000
evaluations raw_y
1 -272389.1000000000
2 -271801.1000000000
3 -270501.1000000000
6 -270220.1000000000
103 -269809.1000000000
109 -269097.1000000000
175 -267995.1000000000
1243 -267765.1000000000
2066 -265831.1000000000
8965 -265306.1000000000
10001 -272389.1000000000
evaluations raw_y
1 -278348.1000000000
2 -278269.1000000000
10 -277542.1000000000
11 -277160.1000000000
21 -276839.1000000000
25 -275744.1000000000
49 -274991.1000000000
75 -274948.1000000000
174 -274808.1000000000
279 -274600.1000000000
324 -272147.1000000000
2578 -271496.1000000000
4044 -271339.1000000000
6062 -271066.1000000000
10001 -278348.1000000000
evaluations raw_y
1 -282004.1000000000
5 -280110.1000000000
9 -278419.1000000000
73 -276821.1000000000
521 -276640.1000000000
798 -272878.1000000000
10001 -282004.1000000000
evaluations raw_y
1 -257026.1000000000
5 -254138.1000000000
18 -253164.1000000000
23 -252889.1000000000
230 -251664.1000000000
2446 -251612.1000000000
5314 -251360.1000000000
5770 -250138.1000000000
10001 -257026.1000000000
evaluations raw_y
1 -275366.1000000000
2 -275266.1000000000
4 -274429.1000000000
10 -274186.1000000000
25 -273385.1000000000
38 -272188.1000000000
68 -272040.1000000000
78 -270798.1000000000
819 -270691.1000000000
2374 -270643.1000000000
2637 -269657.1000000000
3690 -269500.1000000000
5254 -269433.1000000000
5488 -266774.1000000000
6650 -266627.1000000000
10001 -275366.1000000000
evaluations raw_y
1 -271197.1000000000
3 -269143.1000000000
15 -268745.1000000000
29 -268515.1000000000
44 -265652.1000000000
1225 -264772.1000000000
1589 -264580.1000000000
3839 -264521.1000000000
8890 -263059.1000000000
10001 -271809.1000000000
evaluations raw_y
1 -291809.1000000000
6 -289970.1000000000
9 -286881.1000000000
118 -286326.1000000000
264 -284659.1000000000
