evaluations raw_y
1 -267146.1000000000
3 -299.6040333709
5 1008.3238886242
8 1219.6632889123
13 1786.0421643125
15 2607.9879245526
16 4951.5413460637
21 6686.8593204456
33 8267.9623279606
247 9478.3125200563
842 10567.0567172570
2279 10623.1141666570
2541 11801.9348751472
4314 11881.0191658344
7245 12067.7029576491
10001 5556.8762326609
evaluations raw_y
1 -260525.1000000000
4 3514.0677308461
23 4746.9504204207
111 5458.5830997634
137 6106.7494471937
148 6538.8351466148
182 9194.4598373384
317 9760.1955293911
463 10314.1100573896
1841 10418.8760132344
1999 10598.2218044343
2268 10624.2823084092
3399 11052.2082559744
4063 11329.5511672283
9116 12526.0067607990
10001 2096.6064900653
evaluations raw_y
1 -253634.1000000000
3 -302.5916292172
4 175.8053746053
5 395.4623933049
6 444.0079202350
14 1682.8393813562
21 2247.0988341932
27 2975.7605305515
32 4140.3972953147
65 4998.5198244942
69 5340.7576047562
79 6961.1220451008
250 8976.1323540166
789 10478.7794398737
2186 10594.5500544556
2779 10746.2209740582
3110 11555.1550902477
3687 13969.7752769353
10001 4444.6292504721
evaluations raw_y
1 -275369.1000000000
2 -273622.1000000000
3 -1136.3364071866
4 -1066.2414879063
5 4325.2687696383
12 6411.8402921405
16 7161.8208535679
48 9519.5981264814
154 9795.9889744203
247 9965.7498977597
297 10452.9964255901
505 11034.5523182253
2845 12362.8653177732
7530 12540.1010186420
10001 4109.4923216981
evaluations raw_y
1 -252933.1000000000
3 1795.3567868474
4 4093.8392737734
29 6043.3301824109
49 6570.6251117347
120 7534.1164731175
162 8266.4067486726
199 8300.8521317648
303 8492.8111996854
319 9443.1334245300
454 9887.3162607016
790 10472.0129445437
879 12006.8048018447
1232 12776.1671062638
3377 14780.5933751835
10001 -2851.0000000000
evaluations raw_y
1 -290395.1000000000
4 2101.1993412156
6 2139.7216638774
7 3336.7725970599
8 7782.0831744320
72 8480.8141472105
117 9217.9474655838
434 10127.6166645280
1918 10797.9841884355
3446 11142.8207653908
3587 12839.9715263040
10001 -1848.7716039028
evaluations raw_y
1 -272238.1000000000
3 898.7772031022
6 7446.4413332909
207 8003.7119890940
329 8285.0540222381
379 8357.0027508849
475 8863.9583978761
636 9205.6336611764
844 10319.8645732339
1628 11086.4897980490
2114 12352.0571505058
5998 12427.5425492224
10001 9.6740469266
evaluations raw_y
1 -288681.1000000000
3 -1154.0416847451
5 -978.6466502650
8 218.1230588677
9 4426.1555264214
29 4444.8501116475
68 5235.4047190519
116 5524.2608510717
126 5799.8653912935
132 7143.0237089975
217 9501.7027171924
2125 9849.1638866783
2180 11772.5347047574
10001 -1988.2208313222
evaluations raw_y
1 -283974.1000000000
3 537.1938427377
4 1735.0560486864
6 1882.5208590623
7 4657.4324629242
70 4760.9793160195
80 5300.5856594635
101 6655.7453512969
133 9763.5974290054
226 10071.8282791031
1819 10431.2247505755
2302 11486.9568399571
4137 11905.2842530649
10001 5032.1382119628
evaluations raw_y
1 -263967.1000000000
3 1620.8300609183
4 4226.5057609438
18 4247.9122041844
93 4333.3448142027
111 5352.2001338406
121 7537.7136912020
130 9772.6035042088
793 9801.1422611891
1631 12067.6845639025
10001 5508.7242208472
evaluations raw_y
1 -267436.1000000000
2 -266110.1000000000
3 -1511.4103600398
4 274.4168373117
5 2024.3536829409
6 4666.9744798527
29 5967.8282628238
30 6351.8276529036
177 8319.2911759091
314 11577.3090824682
5066 12334.0535967650
5795 12710.2147484088
6068 13692.6264380713
10001 1909.6886729605
evaluations raw_y
1 -295777.1000000000
4 987.3775670590
8 3461.4374562461
41 5305.2271061386
44 5616.5157868639
68 6228.4161452709
240 7466.2985212261
247 10176.1179789697
1068 10995.0733246198
1466 15272.6966426759
10001 4560.4054462032
evaluations raw_y
1 -283101.1000000000
3 1638.3710740341
8 1688.2064616244
21 1781.5166049159
22 2045.8822089732
26 2217.4530752601
30 4358.7697749787
32 4783.1366290390
49 5771.2593785993
71 8705.4582628825
118 9866.8183210672
181 10932.2605273743
429 11530.0447480296
8197 12978.5463476641
10001 5574.0616981145
evaluations raw_y
1 -280091.1000000000
3 1495.2645116365
4 1752.4729099045
7 5666.3032818558
27 6109.5261273482
73 8179.6247113145
258 10164.0448303190
1837 11955.1066604116
4414 13116.7175294284
7431 13436.6318492767
10001 -2851.0000000000
evaluations raw_y
1 -271364.1000000000
2 -269769.1000000000
3 -1494.6355352892
4 -589.0684699850
5 -195.8651164229
6 506.1874893649
7 1468.1003598299
11 1918.6718951677
19 1941.3882303184
22 2090.5811499556
25 2541.6579832907
33 3594.4013461637
53 3626.1916355680
61 5270.1621324680
68 9581.5013980367
91 9605.0071703061
422 12302.7420256482
1037 12641.4710391182
1868 12787.2963070877
6438 15622.1339777006
10001 3344.5831047265
evaluations raw_y
1 -275960.1000000000
2 -275373.1000000000
3 -530.4998103690
7 2483.8906669436
22 3481.3308937150
34 4039.1544217993
72 4644.8751765870
113 4728.0564091590
116 5092.4785548153
120 6199.2820962297
268 6898.4326483394
444 7453.5123067018
468 8384.1528340944
574 9474.9599425848
952 11316.8271231026
1229 11481.7411766484
1252 12033.3263948637
1656 12334.6581834457
10001 -144.1526579692
evaluations raw_y
1 -271566.1000000000
2 -267296.1000000000
3 -390.8883066903
4 1837.4023330000
16 2058.9817375976
25 2170.4085377829
31 4148.0149924944
36 4534.6359666041
74 4770.5866394432
94 6758.2188676820
105 7831.5103299939
115 10185.0704443397
124 10240.5220926079
421 10508.1669293203
491 12335.3988431708
3934 12501.2059816775
6290 12735.5964447168
10001 985.4703961486
evaluations raw_y
1 -285523.1000000000
2 -284935.1000000000
3 2271.0245155237
9 2713.1197887718
17 4302.0101398560
19 4505.2746234122
69 5386.6327341041
78 6349.9590925876
187 6959.7822909594
210 6968.5865368674
211 9174.1797611025
228 9882.7102751174
678 10875.5746304000
3845 11320.3142365580
6060 11800.8375337257
9235 13455.6570523168
10001 1770.0981815529
evaluations raw_y
1 -279520.1000000000
3 -1902.6493797873
4 -726.1751912450
6 5196.9000706055
68 7070.7112967746
111 8334.9536165627
587 11021.4281676681
2395 11234.6343672084
3895 11594.2891946336
10001 5279.4032460603
evaluations raw_y
1 -272239.1000000000
2 -270373.1000000000
3 -969.6233234386
4 400.4460294078
6 2341.6246099477
7 3027.8712235992
18 4982.4114710497
43 5230.5878868554
47 5293.9893301846
48 5748.7585286859
131 5845.0958314978
163 6078.9454871608
173 6178.0039517417
264 7380.3062138067
913 8498.5366124773
1247 8585.4942276559
1982 9713.3692242387
2124 10481.7351251529
3115 11227.1034585524
4587 11525.7217196222
5655 12194.6885347444
8461 12759.4588850844
10001 790.9639847438
evaluations raw_y
1 -287465.1000000000
3 -290.4923766472
5 338.5175608663
6 1054.6047811987
8 1725.0367888932
19 2252.3711596016
27 2749.5515096338
30 3746.8913090504
45 4993.3012430502
54 5570.7994717753
65 5652.9839749777
68 6380.3104250426
70 6873.8176610214
91 8833.1857111577
172 9432.7542878964
216 9627.0193355799
391 12050.9997144892
3573 13023.4212330221
5168 13276.8883146446
7984 15035.5690248823
10001 2239.7445728036
evaluations raw_y
1 -273249.1000000000
4 -1462.6379421629
6 1616.4169644945
15 4146.0527280660
23 5647.0714451688
27 6733.3628908326
110 6984.6554760754
206 7070.4982308117
213 7469.1209770968
225 7680.1161413259
310 8733.3468711359
404 8868.7265939482
407 9046.5780700987
1030 9943.3271543602
1124 12453.2004552143
1278 13431.0723458282
10001 452.9766531030
evaluations raw_y
1 -274102.1000000000
3 -278.9101518697
4 1012.7713744152
8 1686.7650438479
19 2352.1191164861
41 3645.9968529731
72 5905.3464826779
136 6348.1861481243
166 9446.3439250271
515 13910.3806908335
5937 14991.9881402174
10001 -556.1542670538
evaluations raw_y
1 -268244.1000000000
3 327.1822336011
5 2248.0218899623
11 2459.4987051151
14 2553.5664401661
43 4290.1824116741
44 4770.3831460205
64 5261.0771891407
69 5555.0821090609
125 6438.2507324574
161 6615.6939703515
168 6625.9122987206
213 8575.4720622157
218 8818.0409563003
596 9849.3403045847
1459 12360.6016252158
9099 13743.7413426250
10001 3036.1811086202
evaluations raw_y
1 -254386.1000000000
3 2148.9301857713
4 3577.7978118492
22 6390.4661978952
41 8048.5582492970
46 8126.9916275761
190 10333.6239224019
834 10988.7350569454
3547 11246.7663220248
7035 12021.0581108156
10001 1172.3536280233
evaluations raw_y
1 -287108.1000000000
2 -285854.1000000000
3 5497.7565594639
24 6427.2639268038
116 8467.2816487842
435 9402.8369153717
