evaluations raw_y
1 -286716.1000000000
3 -160276.1000000000
15 24525.8566028943
28 25324.5548205925
53 25366.0121622727
77 25429.9373387412
79 25590.2276708240
102 25833.0073087829
143 25896.5516247083
158 25928.6877475772
515 26048.9421247614
806 26056.8423898888
810 26243.1720890376
1117 26375.5742577865
1409 26701.1505388188
1649 26839.8225650149
2425 27040.6024689741
2426 27077.1077711245
3540 27105.4684006082
4993 27259.1938412326
5277 27443.4712890440
5293 27541.5184359146
6465 27542.7128808540
6700 27608.2796927058
7101 27651.4989631700
7332 27675.4366673190
7552 27775.0854537434
10001 -161190.1000000000
evaluations raw_y
1 -302533.1000000000
4 -169821.1000000000
10 -168113.1000000000
13 -166454.1000000000
15 -165768.1000000000
24 -164463.1000000000
26 -163283.1000000000
55 -160738.1000000000
57 -160467.1000000000
62 -160466.1000000000
105 -160410.1000000000
141 23194.5274416886
155 23547.8891822977
200 23749.8822481163
208 23906.0771371448
235 24055.5343085815
240 24268.7963701142
279 24269.0961930599
295 24574.6491953084
328 24600.9239373968
402 24690.3200839376
415 24809.9497003980
427 24864.4079113548
525 25261.8412520425
634 25441.4992844340
838 25510.3329276748
962 25564.8020988145
1040 25677.4784054267
1152 25891.1275232589
1344 26140.1605402654
1821 26340.5249406729
1868 26495.3344046602
1884 26686.4324720621
2150 26738.3164387483
2735 26990.9073065944
3205 27096.6333151480
3430 27105.3298437755
3453 27108.4265378983
3761 27264.5674824065
4014 27465.4937699559
4094 27605.7244401605
7431 27688.9853219912
10001 -161188.1000000000
evaluations raw_y
1 -273641.1000000000
2 -272357.1000000000
3 -163828.1000000000
6 -163392.1000000000
7 -162652.1000000000
26 -162629.1000000000
34 -161708.1000000000
37 -160564.1000000000
54 -159946.1000000000
58 22707.5910442165
76 23798.2421443156
127 24059.3600929478
703 24059.5410116154
946 24444.7815486157
1096 24505.0596354706
1557 24561.8814081476
1629 24675.8003106201
2370 24964.4580986435
2400 25313.9348381294
4898 25557.6531629726
4935 25673.6866960462
5064 25777.5409989143
5174 25911.6465530276
5812 26057.7890155810
10001 23115.5571779296
evaluations raw_y
1 -275938.1000000000
2 -275464.1000000000
3 -165181.1000000000
4 -164615.1000000000
7 -162867.1000000000
27 -162697.1000000000
29 -161458.1000000000
53 -160894.1000000000
54 21352.1663282040
56 21771.2874230076
57 21906.3462545097
65 22153.2271199736
68 24486.1405410119
151 24905.2465339397
320 25367.7694569956
632 25370.6366939728
644 25484.8349337799
937 25707.0845031280
1117 25807.4736873246
1141 25907.6293670359
1206 26209.4778773067
1453 26418.5951358673
2322 26652.1890028151
4714 26778.9184633591
5016 26798.5823329627
5131 26864.3646307197
5223 26865.5483830546
5253 26950.7632784226
5983 27154.1223308159
7813 27262.1210797555
8869 27491.7082635909
10001 25709.8009863669
evaluations raw_y
1 -277489.1000000000
2 -275227.1000000000
3 -164595.1000000000
9 -164587.1000000000
11 -164383.1000000000
22 -162605.1000000000
24 -161308.1000000000
42 -160088.1000000000
43 23068.8421353066
44 23308.8856196756
59 23432.4554945645
80 23546.3635609783
129 23751.7312312393
200 23773.8728056859
207 24139.8182752300
241 24363.8375628624
258 24568.6816230115
319 24831.0177405097
358 24942.8549152131
400 25202.7728762976
402 25601.9352959891
708 25681.5462099965
831 26083.4142675770
865 26235.3740447067
958 26281.4791430374
1320 26400.9831600418
5876 26444.7810425859
6174 26645.7229786901
6223 26763.0369401494
6691 26896.7454152523
7207 27270.6867982292
10001 -161240.1000000000
evaluations raw_y
1 -264354.1000000000
4 -161447.1000000000
5 -160519.1000000000
14 22424.3985926001
15 22875.8497805611
18 23647.0958051412
64 23805.6967136526
118 23863.3769010652
127 23880.8409435870
169 24028.6011476105
211 24276.5438509855
276 24301.0547262048
314 24508.6191974176
349 25021.4709513659
375 25107.6098323176
394 25223.2831496606
436 25271.9943347078
467 25547.7760848206
1048 25565.1292235749
1168 25585.9711847640
1177 25619.4353157292
1302 25819.8133743093
1358 25862.4339642854
1786 25867.9285235824
1931 25877.4537768777
2085 26400.0730633101
2189 26406.7672941526
2360 26592.2952880413
2396 26988.4916264185
2850 27003.3601123387
3602 27099.3908265958
4457 27199.2951214304
5731 27245.5402493309
5744 27317.0915068218
6656 27517.8111180814
6852 27788.9394995939
7470 27791.0118439174
7653 27798.6328267935
8166 27918.4265311203
9181 28020.9242450873
10001 -160842.1000000000
evaluations raw_y
1 -259014.1000000000
3 -160363.1000000000
8 23520.1861076226
13 24039.1589137040
98 24869.5127173073
105 25199.8921917615
109 25241.2756325921
116 25339.2343847526
135 25400.2946759812
190 25501.1578099800
191 25593.3043896475
206 25600.2301940329
213 25931.9433774079
251 26064.1241650643
294 26072.3085410608
315 26138.7755451769
473 26261.9871850135
476 26668.1499139521
519 26737.3547901706
565 26897.0381757607
647 26963.7090647510
2227 27174.8030415012
3374 27196.6628222272
3815 27338.5533732166
4081 27425.6219318482
4956 27625.5430786203
5072 27651.4842878804
10001 -161130.1000000000
evaluations raw_y
1 -278866.1000000000
3 -160279.1000000000
5 -160252.1000000000
38 -160121.1000000000
41 23108.2615220114
42 23453.2592215172
54 23583.1813872171
64 23615.6003834807
187 24003.2763736400
331 24210.2530495175
376 24311.9626947415
381 24431.8369448138
424 24731.7241131535
437 24901.7227769553
536 24989.9799204100
577 25412.4315110645
639 25462.1356802868
696 25731.5762536768
1291 25857.1420304117
3063 25885.9301006828
